Invoice Number,No.,DATE,FLNO,REGIS.,From icao,From Iata,To ICAO,To IATA,MAX,MTOW,CHARGES
156/O/22881,1,26-Apr-25,102,VTJRB,KJFK,JFK,VIDP,DEL,350,350,350
156/O/22881,2,26-Apr-25,192,VTJRA,KJFK,JFK,VIDP,DEL,350,350,350
156/O/22881,1,14-Apr-25,128,VTAEQ,EGLL,LHR,VABB,BOM,291,291,291
156/O/22881,2,25-Apr-25,188,VTALO,CYYZ,YYZ,VIDP,DEL,291,291,291
156/O/22881,3,25-Apr-25,126,VTALQ,KORD,ORD,VIDP,DEL,291,291,291
156/O/22881,4,26-Apr-25,190,VTALT,CYYZ,YYZ,VIDP,DEL,291,291,291
156/O/22881,5,26-Apr-25,144,VTAEM,KEWR,EWR,VABB,BOM,291,291,291
156/O/22881,6,26-Apr-25,116,VTAEQ,KJFK,JFK,VABB,BOM,291,291,291
156/O/22881,7,26-Apr-25,188,VTALX,CYYZ,YYZ,VIDP,DEL,291,291,291
156/O/22881,8,26-Apr-25,126,VTALP,KORD,ORD,VIDP,DEL,291,291,291
156/O/22881,9,26-Apr-25,190,VTAEF,CYYZ,YYZ,VIDP,DEL,291,291,291
156/O/22881,1,01-Apr-25,139,VTANX,VIDP,DEL,LLBG,TLV,228,228,228
156/O/22881,2,01-Apr-25,140,VTANX,LLBG,TLV,VIDP,DEL,228,228,228
156/O/22881,3,02-Apr-25,139,VTANJ,VIDP,DEL,LLBG,TLV,228,228,228
156/O/22881,4,02-Apr-25,140,VTANJ,LLBG,TLV,VIDP,DEL,228,228,228
156/O/22881,5,03-Apr-25,139,VTANI,VIDP,DEL,LLBG,TLV,228,228,228
156/O/22881,6,03-Apr-25,140,VTANI,LLBG,TLV,VIDP,DEL,228,228,228
156/O/22881,7,04-Apr-25,140,VTANL,LLBG,TLV,VIDP,DEL,228,228,228
156/O/22881,8,06-Apr-25,139,VTANI,VIDP,DEL,LLBG,TLV,228,228,228
156/O/22881,9,06-Apr-25,140,VTANI,LLBG,TLV,VIDP,DEL,228,228,228
156/O/22881,10,07-Apr-25,139,VTANI,VIDP,DEL,LLBG,TLV,228,228,228
156/O/22881,11,07-Apr-25,140,VTANI,LLBG,TLV,VIDP,DEL,228,228,228
156/O/22881,12,08-Apr-25,139,VTANC,VIDP,DEL,LLBG,TLV,228,228,228
