Invoice Number,No,Date,Ident,Airc Type,Reg,From-to,Routing,Dist.,tonn,Amount
4AIC-453,1,01-Apr-25,AIC111,A359,VTJRI,LEMOD-NINOP-SAHET-DUKAN,VIDP-EGLL,1212,280,1018.08
4AIC-453,2,01-Apr-25,AIC112,A359,VTJRI,BODKA-ARBAT-MARAD-RANAH,EGLL-VIDP,1143,280,960.12
4AIC-453,3,01-Apr-25,AIC114,B788,VTANC,LARGI-KESEK-NINOP-LEMOD,EGBB-VIDP,1221,220,1025.64
4AIC-453,4,01-Apr-25,AIC117,B788,VTANO,LEMOD-NINOP-KESEK-LARGI,VIAR-EGBB,1221,220,1025.64
4AIC-453,5,01-Apr-25,AIC128,B773,VTAEP,BODKA-KENIP-GIRUN,EGLL-VABB,454,345,408.6
4AIC-453,6,01-Apr-25,AIC137,B788,VTANA,RANAH-MARAD-SAPAR-RODAR,VIDP-LIMC,1172,220,984.48
4AIC-453,7,01-Apr-25,AIC138,B788,VTANA,LARGI-KESEK-MARAD-RANAH,LIMC-VIDP,1161,220,975.24
4AIC-453,8,01-Apr-25,AIC142,B788,VTANP,LARGI-KESEK-MARAD-RANAH,LFPG-VIDP,1161,220,975.24
4AIC-453,9,01-Apr-25,AIC143,B788,VTANP,LEMOD-NINOP-ABEKO-RODAR,VIDP-LFPG,1225,220,1029
4AIC-453,10,01-Apr-25,AIC147,B788,VTANV,LEMOD-NINOP-ARBAT-BODKA,VIDP-LFPG,1203,220,1010.52
4AIC-453,11,01-Apr-25,AIC148,B788,VTANV,BODKA-ARBAT-MARAD-RANAH,LFPG-VIDP,1143,220,960.12
4AIC-453,12,01-Apr-25,AIC153,B788,VTANM,LEMOD-NINOP-KESEK-LARGI,VIDP-LOWW,1221,220,1025.64
4AIC-453,13,01-Apr-25,AIC155,B788,VTANB,LEMOD-NINOP-ARBAT-BODKA,VIDP-EHAM,1203,220,1010.52
4AIC-453,14,01-Apr-25,AIC156,B788,VTANB,BODKA-ARBAT-MARAD-RANAH,EHAM-VIDP,1143,220,960.12
4AIC-453,15,01-Apr-25,AIC161,A359,VTJRA,LEMOD-NINOP-ARBAT-BODKA,VIDP-EGLL,1203,280,1010.52
4AIC-453,16,01-Apr-25,AIC162,A359,VTJRE,BODKA-ARBAT-MARAD-RANAH,EGLL-VIDP,1143,280,960.12
4AIC-453,17,01-Apr-25,AIC2015,B789,VTTSE,RANAH-MARAD-SAPAR-RODAR,VIDP-EGLL,1172,250,984.48
4AIC-453,18,01-Apr-25,AIC2017,B789,VTTSP,RANAH-MARAD-SAPAR-RODAR,VIDP-EGLL,1172,247,984.48
4AIC-453,19,01-Apr-25,AIC2018,B789,VTTSH,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,247,1010.52
4AIC-453,20,01-Apr-25,AIC2025,B789,VTTSD,LEMOD-NINOP-ARBAT-BODKA,VIDP-EDDF,1203,250,1010.52
