Date,,,Line No,,,Callsign,,,Info,,,Type,,,From,To,,,,Weight,,,Invoice,,,,Charge,,VAT%,,,Vat Amt.,Total,
01-Oct-2025,,,4661890,,,AIC2283,,,VTCIF,,,A20N,,,VIDP,OTHH,,,,D,,,2258915,,,,217,,OV 0.00,,,0.00,217.00,
01-Oct-2025,,,4661564,,,AIC936,,,VTCIP,,,A20N,,,OEDF,VABB,,,,D,,,2258915,,,,217,,OV 0.00,,,0.00,217.00,
01-Oct-2025,,,4663296,,,AIC929,,,VTANE,,,B788,,,VIDP,OMDB,,,,B,,,2258915,,,,90,,OV 0.00,,,0.00,90.00,
01-Oct-2025,,,4661934,,,AIC2203,,,VTTQD,,,A20N,,,VOHS,OMDB,,,,D,,,2258915,,,,60,,OV 0.00,,,0.00,60.00,
01-Oct-2025,,,4664258,,,AIC2201,,,VTTVE,,,A21N,,,VABB,OMDB,,,,D,,,2258915,,,,60,,OV 0.00,,,0.00,60.00,
01-Oct-2025,,,4661970,,,AIC983,,,VTANQ,,,B788,,,VABB,OMDB,,,,B,,,2258915,,,,90,,OV 0.00,,,0.00,90.00,
01-Oct-2025,,,4664189,,,AIC133,,,VTANY,,,B788,,,VOBL,EGLL,,,,B,,,2258915,,,,334,,OV 0.00,,,0.00,334.00,
01-Oct-2025,,,4663200,,,AIC130,,,VTAEM,,,B77W,,,EGLL,VABB,,,,A,,,2258915,,,,392,,OV 0.00,,,0.00,392.00,
01-Oct-2025,,,4664264,,,AIC919,,,VTTNP,,,A20N,,,VABB,OMDB,,,,D,,,2258915,,,,60,,OV 0.00,,,0.00,60.00,
01-Oct-2025,,,4662079,,,AIC935,,,VTCIP,,,A20N,,,VABB,OEDF,,,,D,,,2258915,,,,217,,OV 0.00,,,0.00,217.00,
01-Oct-2025,,,4662888,,,AIC101,,,VTJRB,,,A359,,,VIDP,KJFK,,,,B,,,2258915,,,,334,,OV 0.00,,,0.00,334.00,
01-Oct-2025,,,4662145,,,AIC945,,,VTCIH,,,A20N,,,VABB,OMAA,,,,D,,,2258915,,,,60,,OV 0.00,,,0.00,60.00,
