Mtow,Mtow Range,Weight Factor,Distance Factor,Route Unit,Unit rate,Formula
227930,227.93,77,15.25,1174.25,0.65,Unitr rate*Route Unit
227930,227.93,77,16.44,1265.88,0.65,Unitr rate*Route Unit
227930,227.93,77,19.2,1478.4,0.65,Unitr rate*Route Unit
89000,89,37,11.54,426.98,0.65,Unitr rate*Route Unit
227930,227.93,77,24.03,1850.31,0.65,Unitr rate*Route Unit
227930,227.93,77,27.23,2096.71,0.65,Unitr rate*Route Unit
227930,227.93,77,17.57,1352.89,0.65,Unitr rate*Route Unit
227930,227.93,77,21.42,1649.34,0.65,Unitr rate*Route Unit
77000,77,33,5.82,192.06,0.65,Unitr rate*Route Unit
89000,89,37,9.01,333.37,0.65,Unitr rate*Route Unit
89000,89,37,5.82,215.34,0.65,Unitr rate*Route Unit
227930,227.93,77,19.92,1533.84,0.65,Unitr rate*Route Unit
227930,227.93,77,19.75,1520.75,0.65,Unitr rate*Route Unit
227930,227.93,77,23.96,1844.92,0.65,Unitr rate*Route Unit
227930,227.93,77,26.61,2048.97,0.65,Unitr rate*Route Unit
227930,227.93,77,21.03,1619.31,0.65,Unitr rate*Route Unit
227930,227.93,77,18.98,1461.46,0.65,Unitr rate*Route Unit
227930,227.93,77,20.45,1574.65,0.65,Unitr rate*Route Unit
227930,227.93,77,15.26,1175.02,0.65,Unitr rate*Route Unit
93500,93.5,38,9.01,342.38,0.65,Unitr rate*Route Unit
89000,89,37,8.75,323.75,0.65,Unitr rate*Route Unit
227930,227.93,77,17.15,1320.55,0.65,Unitr rate*Route Unit
93500,93.5,38,5.82,221.16,0.65,Unitr rate*Route Unit
227930,227.93,77,23.82,1834.14,0.65,Unitr rate*Route Unit
227930,227.93,77,23.44,1804.88,0.65,Unitr rate*Route Unit
227930,227.93,77,21.47,1653.19,0.65,Unitr rate*Route Unit
227930,227.93,77,20.57,1583.89,0.65,Unitr rate*Route Unit
227930,227.93,77,14.08,1084.16,0.65,Unitr rate*Route Unit
227930,227.93,77,20.06,1544.62,0.65,Unitr rate*Route Unit
93500,93.5,38,11.54,438.52,0.65,Unitr rate*Route Unit
227930,227.93,77,21.31,1640.87,0.65,Unitr rate*Route Unit
227930,227.93,77,22.04,1697.08,0.65,Unitr rate*Route Unit
