INV,Service Branch,ADEP,ADES,Date,Flight Number,Register,Type,Point In,Time In,Point Out,Time Out,Distance Factor,Weight Factor,Route Unit
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,21-04-2025,AIC309,VTANO,B788,SAPDA,21-04-2025 15:04,SALAX,21-04-2025 16:57,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,VIDP,YSSY,21-04-2025,AIC302,VTANZ,B788,ENVUM,22-04-2025 00:29,BOPLO,22-04-2025 02:57,20.45,77,1574.65
AIRNAV.2025.3.00001884,WIII,VIDP,YMML,21-04-2025,AIC308,VTANL,B788,FIRJ4,22-04-2025 01:18,SAPDA,22-04-2025 03:00,15.26,77,1175.02
AIRNAV.2025.3.00001884,WIII,VIDP,YSSY,22-04-2025,AIC302,VTNAA,B788,FIRJ4,23-04-2025 00:49,SAPDA,23-04-2025 03:00,15.26,77,1175.02
AIRNAV.2025.3.00001884,WIII,VOMM,WSSS,22-04-2025,AIC346,VTPPM,A321,ANSAX,22-04-2025 21:42,FIRJ5,22-04-2025 22:43,9.01,37,333.37
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,22-04-2025,AIC309,VTANL,B788,SAPDA,22-04-2025 14:54,SALAX,22-04-2025 16:44,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,WSSS,VABB,23-04-2025,AIC2108,VTTVF,A21N,FIRJ5,23-04-2025 12:07,ANSAX,23-04-2025 13:06,9.01,38,342.38
AIRNAV.2025.3.00001884,WIII,VOMM,WSSS,23-04-2025,AIC346,VTPPL,A321,ANSAX,23-04-2025 21:42,MIBEL,23-04-2025 22:43,8.75,37,323.75
AIRNAV.2025.3.00001884,WIII,VIDP,YMML,23-04-2025,AIC308,VTANE,B788,SALAX,24-04-2025 00:46,ISRAN,24-04-2025 02:34,16.44,77,1265.88
AIRNAV.2025.3.00001884,WIII,WSSS,VOMM,24-04-2025,AIC347,VTPPL,A321,PUGER,24-04-2025 01:06,ANSAX,24-04-2025 01:43,5.82,37,215.34
AIRNAV.2025.3.00001884,WIII,VIDP,YMML,24-04-2025,AIC308,VTANT,B788,SALAX,25-04-2025 01:07,ISRAN,25-04-2025 03:17,16.44,77,1265.88
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,25-04-2025,AIC309,VTANT,B788,SAPDA,25-04-2025 15:05,SALAX,25-04-2025 16:57,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,YSSY,VIDP,26-04-2025,AIC301,VTANQ,B788,SAPDA,26-04-2025 15:32,SALAX,26-04-2025 17:25,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,26-04-2025,AIC309,VTANP,B788,SAPDA,26-04-2025 14:59,SALAX,26-04-2025 16:49,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,28-04-2025,AIC309,VTANX,B788,ATMAL,28-04-2025 16:01,SALAX,28-04-2025 17:44,17.15,77,1320.55
AIRNAV.2025.3.00001884,WIII,WSSS,VABB,28-04-2025,AIC2108,VTTVA,A21N,PUGER,28-04-2025 12:33,ANSAX,28-04-2025 13:10,5.82,39,226.98
AIRNAV.2025.3.00001884,WIII,VIDP,YMML,29-04-2025,AIC308,VTNAA,B788,FIRJB,30-04-2025 02:30,BOPLO,30-04-2025 02:55,18.98,77,1461.46
AIRNAV.2025.3.00001884,WIII,YSSY,VIDP,29-04-2025,AIC301,VTNAC,B788,SAPDA,29-04-2025 17:27,SALAX,29-04-2025 19:52,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,VOMM,WSSS,29-04-2025,AIC346,VTPPH,A321,ANSAX,29-04-2025 21:39,PUGER,29-04-2025 22:20,5.82,37,215.34
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,29-04-2025,AIC309,VTANE,B788,SAPDA,29-04-2025 15:17,SALAX,29-04-2025 17:09,19.2,77,1478.4
AIRNAV.2025.3.00001884,WIII,VOMM,WSSS,30-04-2025,AIC346,VTPPI,A321,ANSAX,30-04-2025 21:37,FIRJ5,30-04-2025 22:38,9.01,37,333.37
AIRNAV.2025.3.00001884,WIII,WSSS,VOBL,30-04-2025,AIC2393,VTTQD,A20N,PUGER,30-04-2025 02:15,ANSAX,30-04-2025 02:52,5.82,32,186.24
AIRNAV.2025.3.00001884,WIII,YMML,VIDP,30-04-2025,AIC309,VTNAA,B788,SAPDA,30-04-2025 16:12,SALAX,30-04-2025 18:05,19.2,77,1478.4
AIRNAV.2025.3.00001884,WAAA,YSSY,VIDP,21-04-2025,AIC301,VTANR,B788,KIKEM,21-04-2025 14:38,OSERU,21-04-2025 17:22,26.61,77,2048.97
AIRNAV.2025.3.00001884,WAAA,YSSY,VIDP,22-04-2025,AIC301,VTANZ,B788,ONOXA,22-04-2025 14:24,AVPIV,22-04-2025 16:50,23.82,77,1834.14
AIRNAV.2025.3.00001884,WAAA,YSSY,VIDP,23-04-2025,AIC301,VTNAA,B788,ONOXA,23-04-2025 14:34,OSERU,23-04-2025 16:50,23.44,77,1804.88
AIRNAV.2025.3.00001884,WAAA,YMML,VIDP,23-04-2025,AIC309,VTANA,B788,ATMAP,23-04-2025 14:49,OSERU,23-04-2025 16:56,21.47,77,1653.19
AIRNAV.2025.3.00001884,WAAA,YSSY,VIDP,24-04-2025,AIC301,VTANZ,B788,ONOXA,24-04-2025 14:17,AVPIV,24-04-2025 16:41,23.82,77,1834.14
AIRNAV.2025.3.00001884,WAAA,YMML,VIDP,24-04-2025,AIC309,VTANE,B788,ONOXA,24-04-2025 14:12,AVPIV,24-04-2025 16:32,23.82,77,1834.14
AIRNAV.2025.3.00001884,WAAA,YSSY,VIDP,25-04-2025,AIC301,VTANU,B788,ONOXA,25-04-2025 14:37,AVPIV,25-04-2025 16:56,23.82,77,1834.14
