"SL
No.",Entry No,,Overflying Date,,Entry FIR,Exit FIR,,Flight No.,,Regn No.,,ACFT Type,,MTOW (KG),,RNC (USD),
1,894149,,09-Sep-2025,,04:13,04:37,,315,,VTTVJ,,251N,,77000.00,,300.00,
2,891721,,09-Sep-2025,,04:25,04:38,,2381,,VTTSN,,B789,,247000.00,,450.00,
3,891718,,09-Sep-2025,,04:52,05:04,,2355,,VTRTS,,A20N,,77000.00,,300.00,
4,891727,,09-Sep-2025,,07:28,07:40,,2115,,VTTVB,,A320,,73500.00,,300.00,
5,894232,,09-Sep-2025,,07:53,08:17,,186,,VTALQ,,B777,,351534.00,,450.00,
6,894237,,09-Sep-2025,,08:22,08:44,,174,,VTAEG,,B772,,394000.00,,450.00,
7,894239,,09-Sep-2025,,08:59,09:20,,357,,VTANV,,B787,,227930.00,,450.00,
8,894298,,09-Sep-2025,,09:11,09:36,,313,,VTANX,,B787,,227930.00,,450.00,
9,864553,,09-Sep-2025,,13:06,13:33,,179,,VTALP,,B777,,351534.00,,450.00,
10,864615,,09-Sep-2025,,16:20,16:49,,358,,VTANV,,B787,,227930.00,,450.00,
11,864679,,09-Sep-2025,,18:46,19:04,,314,,VTTVI,,A21N,,93500.00,,300.00,
12,864664,,09-Sep-2025,,22:18,22:40,,173,,VTAEG,,B772,,394000.00,,450.00,
13,864669,,09-Sep-2025,,22:19,22:45,,176,,VTALS,,B777,,351534.00,,450.00,
14,864766,,10-Sep-2025,,00:41,01:05,,185,,VTALJ,,B777,,351534.00,,450.00,
15,864833,,10-Sep-2025,,04:19,04:44,,315,,VTTVI,,A21N,,93500.00,,300.00,
16,865223,,10-Sep-2025,,09:01,09:23,,357,,VTANV,,B787,,227930.00,,450.00,
17,865232,,10-Sep-2025,,09:23,09:45,,174,,VTAEH,,B777,,347520.00,,450.00,
18,865404,,10-Sep-2025,,14:20,14:47,,175,,VTALK,,B777,,351534.00,,450.00,
19,865457,,10-Sep-2025,,16:10,16:29,,2116,,VTEVA,,B747,,377842.00,,450.00,
20,865444,,10-Sep-2025,,16:25,16:50,,358,,VTANL,,B787,,227930.00,,450.00,
21,896278,,10-Sep-2025,,18:35,18:47,,2383,,VTTVB,,A320,,73500.00,,300.00,
22,896451,,10-Sep-2025,,19:01,19:23,,314,,VTTVI,,A21N,,93500.00,,300.00,
23,896434,,10-Sep-2025,,20:41,21:02,,312,,VTANC,,B787,,227930.00,,450.00,
24,896390,,10-Sep-2025,,21:42,22:08,,1178,,VTALX,,B77W,,247000.00,,450.00,
25,896387,,10-Sep-2025,,21:52,22:18,,176,,VTALP,,B777,,351534.00,,450.00,
26,896394,,10-Sep-2025,,22:34,22:54,,173,,VTAEI,,B77L,,394000.00,,450.00,
27,865659,,11-Sep-2025,,02:13,02:25,,2380,,VTTSN,,B789,,247000.00,,450.00,
28,865867,,11-Sep-2025,,04:31,04:53,,315,,VTTVI,,A21N,,93500.00,,300.00,
29,897502,,11-Sep-2025,,07:57,08:41,,186,,VTALJ,,B777,,351534.00,,450.00,
30,897510,,11-Sep-2025,,08:46,09:08,,357,,VTANL,,B787,,227930.00,,450.00,
31,897511,,11-Sep-2025,,08:50,09:12,,174,,VTAEG,,B772,,394000.00,,450.00,
32,897513,,11-Sep-2025,,09:19,09:42,,313,,VTANC,,B787,,227930.00,,450.00,
33,866005,,11-Sep-2025,,12:13,12:19,,889,,VTCIH,,A20N,,79000.00,,300.00,
34,866047,,11-Sep-2025,,13:00,13:26,,175,,VTALX,,B77W,,247000.00,,450.00,
35,866093,,11-Sep-2025,,16:42,17:00,,358,,VTANR,,B788,,247000.00,,450.00,
36,866091,,11-Sep-2025,,16:57,17:10,,2116,,VTTVC,,A21N,,93500.00,,300.00,
37,866228,,11-Sep-2025,,18:27,18:45,,314,,VTTVJ,,251N,,77000.00,,300.00,
38,866193,,11-Sep-2025,,22:18,22:48,,173,,VTEGE,,A320,,77000.00,,300.00,
39,866241,,11-Sep-2025,,22:22,22:35,,308,,VTANK,,B787,,227930.00,,450.00,
40,866179,,11-Sep-2025,,22:52,23:18,,180,,VTALK,,B777,,351534.00,,450.00,
41,897884,,12-Sep-2025,,00:46,01:18,,185,,VTALR,,B777,,351534.00,,450.00,
42,897886,,12-Sep-2025,,04:35,04:57,,315,,VTTVJ,,251N,,77000.00,,300.00,
43,866337,,12-Sep-2025,,08:50,09:22,,174,,VTAEI,,B77L,,394000.00,,450.00,
44,866335,,12-Sep-2025,,09:03,09:27,,357,,VTANR,,B788,,247000.00,,450.00,
45,866397,,12-Sep-2025,,13:54,14:20,,179,,VTALN,,B777,,351534.00,,450.00,
46,896788,,12-Sep-2025,,17:57,18:19,,358,,VTANL,,B787,,227930.00,,450.00,
47,896787,,12-Sep-2025,,18:47,19:09,,314,,VTTVJ,,251N,,77000.00,,300.00,
48,896783,,12-Sep-2025,,20:35,20:59,,312,,VTANI,,B787,,227930.00,,450.00,
49,897866,,12-Sep-2025,,21:23,21:49,,180,,VTALX,,B77W,,247000.00,,450.00,
50,896784,,12-Sep-2025,,22:30,23:00,,173,,VTAEI,,B77L,,394000.00,,450.00,
51,897652,,13-Sep-2025,,00:55,01:15,,185,,VTALK,,B777,,351534.00,,450.00,
52,897672,,13-Sep-2025,,04:22,04:44,,315,,VTTVJ,,251N,,77000.00,,300.00,
53,897592,,13-Sep-2025,,04:22,04:34,,2381,,VTTSO,,B789,,247000.00,,450.00,
54,866553,,13-Sep-2025,,08:21,08:43,,174,,VTAEG,,B772,,394000.00,,450.00,
55,866574,,13-Sep-2025,,09:13,09:35,,357,,VTANR,,B788,,247000.00,,450.00,
56,866568,,13-Sep-2025,,09:34,09:56,,313,,VTANT,,B787,,227930.00,,450.00,
57,866611,,13-Sep-2025,,11:17,11:39,,186,,VTALR,,B777,,351534.00,,450.00,
58,866724,,13-Sep-2025,,14:18,14:52,,179,,VTALM,,B777,,351534.00,,450.00,
59,866672,,13-Sep-2025,,16:10,16:32,,358,,VTANC,,B787,,227930.00,,450.00,
60,866804,,13-Sep-2025,,18:42,19:04,,314,,VTTVH,,A21N,,89000.00,,300.00,
61,866756,,13-Sep-2025,,20:19,20:41,,312,,VTANC,,B787,,227930.00,,450.00,
62,866848,,13-Sep-2025,,22:50,23:16,,176,,VTALN,,B777,,351534.00,,450.00,
63,895613,,14-Sep-2025,,02:36,02:58,,173D,,VTAEF,,B77L,,569000.00,,450.00,
64,895627,,14-Sep-2025,,04:24,04:46,,315,,VTTVH,,A21N,,89000.00,,300.00,
65,867248,,14-Sep-2025,,08:51,09:15,,186,,VTALK,,B777,,351534.00,,450.00,
66,867254,,14-Sep-2025,,09:03,09:29,,313,,VTANC,,B787,,227930.00,,450.00,
67,867323,,14-Sep-2025,,09:39,10:02,,357,,VTANZ,,B787,,227930.00,,450.00,
68,895639,,14-Sep-2025,,10:28,10:52,,174,,VTAEI,,B77L,,394000.00,,450.00,
69,894991,,14-Sep-2025,,14:16,14:42,,175,,VTALP,,B777,,351534.00,,450.00,
70,895695,,14-Sep-2025,,16:30,16:52,,358,,VTANC,,B787,,227930.00,,450.00,
71,895660,,14-Sep-2025,,18:50,19:08,,314,,VTTVJ,,251N,,77000.00,,300.00,
72,895667,,14-Sep-2025,,23:07,23:25,,173,,VTAEI,,B77L,,394000.00,,450.00,
73,867380,,15-Sep-2025,,00:10,00:28,,183,,VTALX,,B77W,,247000.00,,450.00,
74,867381,,15-Sep-2025,,00:20,00:44,,185,,VTAEG,,B772,,394000.00,,450.00,
75,867405,,15-Sep-2025,,01:20,01:40,,180,,VTALM,,B777,,351534.00,,450.00,
76,896232,,15-Sep-2025,,04:20,04:32,,2381,,VTTSN,,B789,,247000.00,,450.00,
77,896536,,15-Sep-2025,,04:21,04:45,,315,,VTTVH,,A21N,,89000.00,,300.00,
78,896579,,15-Sep-2025,,09:18,09:40,,357,,VTANC,,B787,,227930.00,,450.00,
79,896257,,15-Sep-2025,,09:44,09:56,,388,,VTCIF,,A320,,77000.00,,300.00,
80,896265,,15-Sep-2025,,10:57,11:06,,2356,,VTEXT,,A320,,77000.00,,300.00,
81,867899,,15-Sep-2025,,12:24,12:43,,174,,VTAEF,,B77L,,569000.00,,450.00,
82,867872,,15-Sep-2025,,14:38,14:50,,890,,VTRTU,,A320,,79000.00,,300.00,
83,867948,,15-Sep-2025,,15:10,15:36,,179,,VTALN,,B777,,351534.00,,450.00,
84,867959,,15-Sep-2025,,16:15,16:37,,358,,VTANI,,B787,,227930.00,,450.00,
85,868047,,15-Sep-2025,,18:29,18:50,,314,,VTTVH,,A21N,,89000.00,,300.00,
86,867964,,15-Sep-2025,,19:30,19:42,,2380,,VTTSN,,B789,,247000.00,,450.00,
87,867985,,15-Sep-2025,,20:15,20:41,,312,,VTANC,,B787,,227930.00,,450.00,
88,867989,,15-Sep-2025,,20:28,20:40,,309,,VTNAA,,B787,,227930.00,,450.00,
89,868080,,15-Sep-2025,,22:37,23:00,,173,,VTAEE,,B77L,,340194.00,,450.00,
90,868073,,15-Sep-2025,,23:30,23:56,,180,,VTALP,,B777,,351534.00,,450.00,
TOTAL:,,,,,,,,,,,,,,,,"37,050.00",
