Regn_No.,MTOW_numeric,Rate_Master_Charge,Vendor_Charge,Difference,Status
VTTVJ,77000.0,300.0,300.0,0.0,Matched
VTTSN,247000.0,450.0,450.0,0.0,Matched
VTRTS,77000.0,300.0,300.0,0.0,Matched
VTTVB,73500.0,300.0,300.0,0.0,Matched
VTALQ,351534.0,450.0,450.0,0.0,Matched
VTAEG,394000.0,450.0,450.0,0.0,Matched
VTANV,227930.0,450.0,450.0,0.0,Matched
VTANX,227930.0,450.0,450.0,0.0,Matched
VTALP,351534.0,450.0,450.0,0.0,Matched
VTANV,227930.0,450.0,450.0,0.0,Matched
VTTVI,93500.0,300.0,300.0,0.0,Matched
VTAEG,394000.0,450.0,450.0,0.0,Matched
VTALS,351534.0,450.0,450.0,0.0,Matched
VTALJ,351534.0,450.0,450.0,0.0,Matched
VTTVI,93500.0,300.0,300.0,0.0,Matched
VTANV,227930.0,450.0,450.0,0.0,Matched
VTAEH,347520.0,450.0,450.0,0.0,Matched
VTALK,351534.0,450.0,450.0,0.0,Matched
VTEVA,377842.0,450.0,450.0,0.0,Matched
VTANL,227930.0,450.0,450.0,0.0,Matched
VTTVB,73500.0,300.0,300.0,0.0,Matched
VTTVI,93500.0,300.0,300.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTALX,247000.0,450.0,450.0,0.0,Matched
VTALP,351534.0,450.0,450.0,0.0,Matched
VTAEI,394000.0,450.0,450.0,0.0,Matched
VTTSN,247000.0,450.0,450.0,0.0,Matched
VTTVI,93500.0,300.0,300.0,0.0,Matched
VTALJ,351534.0,450.0,450.0,0.0,Matched
VTANL,227930.0,450.0,450.0,0.0,Matched
VTAEG,394000.0,450.0,450.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTCIH,79000.0,300.0,300.0,0.0,Matched
VTALX,247000.0,450.0,450.0,0.0,Matched
VTANR,247000.0,450.0,450.0,0.0,Matched
VTTVC,93500.0,300.0,300.0,0.0,Matched
VTTVJ,77000.0,300.0,300.0,0.0,Matched
VTEGE,77000.0,300.0,300.0,0.0,Matched
VTANK,227930.0,450.0,450.0,0.0,Matched
VTALK,351534.0,450.0,450.0,0.0,Matched
VTALR,351534.0,450.0,450.0,0.0,Matched
VTTVJ,77000.0,300.0,300.0,0.0,Matched
VTAEI,394000.0,450.0,450.0,0.0,Matched
VTANR,247000.0,450.0,450.0,0.0,Matched
VTALN,351534.0,450.0,450.0,0.0,Matched
VTANL,227930.0,450.0,450.0,0.0,Matched
VTTVJ,77000.0,300.0,300.0,0.0,Matched
VTANI,227930.0,450.0,450.0,0.0,Matched
VTALX,247000.0,450.0,450.0,0.0,Matched
VTAEI,394000.0,450.0,450.0,0.0,Matched
VTALK,351534.0,450.0,450.0,0.0,Matched
VTTVJ,77000.0,300.0,300.0,0.0,Matched
VTTSO,247000.0,450.0,450.0,0.0,Matched
VTAEG,394000.0,450.0,450.0,0.0,Matched
VTANR,247000.0,450.0,450.0,0.0,Matched
VTANT,227930.0,450.0,450.0,0.0,Matched
VTALR,351534.0,450.0,450.0,0.0,Matched
VTALM,351534.0,450.0,450.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTTVH,89000.0,300.0,300.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTALN,351534.0,450.0,450.0,0.0,Matched
VTAEF,569000.0,450.0,450.0,0.0,Matched
VTTVH,89000.0,300.0,300.0,0.0,Matched
VTALK,351534.0,450.0,450.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTANZ,227930.0,450.0,450.0,0.0,Matched
VTAEI,394000.0,450.0,450.0,0.0,Matched
VTALP,351534.0,450.0,450.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTTVJ,77000.0,300.0,300.0,0.0,Matched
VTAEI,394000.0,450.0,450.0,0.0,Matched
VTALX,247000.0,450.0,450.0,0.0,Matched
VTAEG,394000.0,450.0,450.0,0.0,Matched
VTALM,351534.0,450.0,450.0,0.0,Matched
VTTSN,247000.0,450.0,450.0,0.0,Matched
VTTVH,89000.0,300.0,300.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTCIF,77000.0,300.0,300.0,0.0,Matched
VTEXT,77000.0,300.0,300.0,0.0,Matched
VTAEF,569000.0,450.0,450.0,0.0,Matched
VTRTU,79000.0,300.0,300.0,0.0,Matched
VTALN,351534.0,450.0,450.0,0.0,Matched
VTANI,227930.0,450.0,450.0,0.0,Matched
VTTVH,89000.0,300.0,300.0,0.0,Matched
VTTSN,247000.0,450.0,450.0,0.0,Matched
VTANC,227930.0,450.0,450.0,0.0,Matched
VTNAA,227930.0,450.0,450.0,0.0,Matched
VTAEE,340194.0,450.0,450.0,0.0,Matched
VTALP,351534.0,450.0,450.0,0.0,Matched
,,,,,Not Matched
