Invoice number,Callsign,Departure,IATA,Arrival,IATA,FLIGHTDATE,AC Type,Registration,Total Bill,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,04-Sep-25,A20N,VTTQD,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,10-Sep-25,A20N,VTTQL,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,13-Sep-25,A20N,VTTQF,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,15-Sep-25,A20N,VTTQI,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,09-Sep-25,A20N,VTTQH,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,04-Sep-25,A20N,VTTQD,350,,,,,,,,,,,
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,30-Sep-25,A20N,VTTNP,180,,,,,,,,,,,
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,09-Sep-25,A20N,VTTNQ,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,06-Sep-25,A20N,VTTNQ,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,02-Sep-25,A20N,VTTQA,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,10-Sep-25,A20N,VTTQL,350,,,,,,,,,,,
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,11-Sep-25,A20N,VTTNX,180,,,,,,,,,,,
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,01-Sep-25,A20N,VTTNW,350,,,,,,,,,,,
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,20-Sep-25,A20N,VTTNP,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,07-Sep-25,A20N,VTTQD,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,09-Sep-25,A20N,VTTQH,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,12-Sep-25,A20N,VTTQI,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,16-Sep-25,A20N,VTTNR,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,17-Sep-25,A20N,VTTQH,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,23-Sep-25,A20N,VTTQD,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,05-Sep-25,A20N,VTTQH,350,,,,,,,,,,,
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,30-Sep-25,A20N,VTTNP,180,,,,,,,,,,,
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,03-Sep-25,A20N,VTTNQ,180,,,,,,,,,,,
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,02-Sep-25,A20N,VTTNX,180,,,,,,,,,,,
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,30-Sep-25,A20N,VTTNW,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,19-Sep-25,A20N,VTTQH,350,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,27-Sep-25,A20N,VTTNR,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,03-Sep-25,A20N,VTTNY,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,06-Sep-25,A20N,VTTNQ,350,,,,,,,,,,,
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,08-Sep-25,A20N,VTTQL,350,,,,,,,,,,,
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,09-Sep-25,A20N,VTTNR,180,,,,,,,,,,,
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,04-Sep-25,A20N,VTTQI,180,,,,,,,,,,,
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,14-Sep-25,A20N,VTTNW,350,,,,,,,,,,,
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,27-Sep-25,A20N,VTTQJ,180,,,,,,,,,,,
