No.,Type,MTOW,Flight No.,REG,Entry,Exit,Distance(NM),Flight Date,Nav Fee,Charge
1,B77W,354.534,AIC116,VTAEM,BONAM,SIR,894.52,01-09-2025 00:36,1977.99,1977.99
2,B77W,354.534,AIC130,VTAEP,AGINA,MESPO,1180.69,01-09-2025 00:38,2610.77,2610.77
3,B77W,354.534,AIC144,VTAEQ,AGINA,MESPO,1180.69,01-09-2025 00:59,2610.77,2610.77
4,B788,227.93,AIC132,VTANC,AGINA,MESPO,1180.69,01-09-2025 01:34,1819.02,1819.02
5,B77W,351.534,AIC126,VTALT,AGINA,MESPO,1180.69,01-09-2025 06:54,2592.01,2592.01
6,B77W,354.534,AIC128,VTAEN,BONAM,SIR,894.52,01-09-2025 16:20,1977.99,1977.99
7,B77W,351.534,AIC156,VTALP,BONAM,SIR,894.52,01-09-2025 23:31,1963.77,1963.77
8,B77W,354.534,AIC116,VTAER,BONAM,SIR,894.52,02-09-2025 00:42,1977.99,1977.99
9,B77W,354.534,AIC130,VTAEQ,AGINA,MESPO,1180.69,02-09-2025 01:01,2610.77,2610.77
10,B788,227.93,AIC132,VTNAC,AGINA,MESPO,1180.69,02-09-2025 01:52,1819.02,1819.02
11,B77W,351.534,AIC126,VTALN,AGINA,MESPO,1180.69,02-09-2025 06:04,2592.01,2592.01
12,B789,247.207,AIC2026,VTTSE,DASIS,MESPO,1159.71,02-09-2025 15:42,1905.11,1905.11
13,B77W,354.534,AIC128,VTAEN,BONAM,SIR,894.52,02-09-2025 16:23,1977.99,1977.99
14,B77W,351.534,AIC156,VTALP,DASIS,MESPO,1159.71,02-09-2025 23:04,2545.95,2545.95
15,B789,254.011,AIC2030,VTTSH,AGINA,MESPO,1180.69,02-09-2025 23:08,1982.12,1982.12
16,B77L,347.452,AIC127,VTAEF,MESPO,NAZAR,712.1,03-09-2025 00:20,1547.9,1547.9
17,B788,227.93,AIC118,VTANW,AGINA,MESPO,1180.69,03-09-2025 00:22,1819.02,1819.02
18,B788,227.93,AIC134,VTANJ,AGINA,MESPO,1180.69,03-09-2025 00:34,1819.02,1819.02
19,B77W,351.534,AIC130,VTALS,AGINA,MESPO,1180.69,03-09-2025 01:39,2592.01,2592.01
20,A359,280,AIC106,VTJRI,BONAM,SIR,894.52,03-09-2025 01:48,1624.84,1624.84
21,B789,254.011,AIC2016,VTTSO,BONAM,SIR,894.52,03-09-2025 02:08,1501.71,1501.71
22,B77W,351.534,AIC188,VTALR,BONAM,SIR,894.52,03-09-2025 05:16,1963.77,1963.77
23,B788,227.93,AIC133,VTANK,GABKO,DASIS,967.2,03-09-2025 12:32,1490.11,1490.11
24,A359,280,AIC162,VTJRB,BONAM,SIR,894.52,03-09-2025 13:33,1624.84,1624.84
25,B789,254.011,AIC2026,VTTSD,AGINA,MESPO,1180.69,03-09-2025 14:16,1982.12,1982.12
26,B77W,354.534,AIC128,VTAEN,BONAM,SIR,894.52,03-09-2025 16:27,1977.99,1977.99
27,A359,280,AIC112,VTJRH,BONAM,SIR,894.52,03-09-2025 17:45,1624.84,1624.84
28,B788,227.93,AIC2028,VTANP,AGINA,MESPO,1180.69,03-09-2025 22:01,1819.02,1819.02
29,B77W,354.534,AIC119,VTAEP,MESPO,DASIS,1159.71,03-09-2025 22:17,2564.38,2564.38
30,B788,227.93,AIC118,VTAND,BONAM,SIR,894.52,03-09-2025 23:29,1378.13,1378.13
31,B789,254.011,AIC2030,VTTSN,AGINA,MESPO,1180.69,04-09-2025 00:07,1982.12,1982.12
32,B77W,351.534,AIC156,VTALP,BONAM,SIR,894.52,04-09-2025 00:42,1963.77,1963.77
33,B77W,354.534,AIC144,VTAER,BONAM,SIR,894.52,04-09-2025 02:00,1977.99,1977.99
34,B788,227.93,AIC132,VTANK,BONAM,SIR,894.52,04-09-2025 03:13,1378.13,1378.13
35,B788,227.93,AIC117,VTNAC,MESPO,DASIS,1159.71,04-09-2025 09:53,1786.7,1786.7
36,A359,280,AIC162,VTJRA,BONAM,SIR,894.52,04-09-2025 13:59,1624.84,1624.84
37,B77W,354.534,AIC128,VTAEN,BONAM,SIR,894.52,04-09-2025 18:26,1977.99,1977.99
38,B789,247.207,AIC112,VTTSE,BONAM,SIR,894.52,04-09-2025 18:34,1469.47,1469.47
39,B77W,354.534,AIC130D,VTAEO,DASIS,MESPO,1159.71,04-09-2025 19:04,2564.38,2564.38
40,B789,254.011,AIC2018,VTTSN,BONAM,SIR,894.52,05-09-2025 00:54,1501.71,1501.71
