"TOTAL
DISTANCE (KM)",MTOW,Unit Rate,Charge,Formula
728.3916,280,1,728.3916,Distance*Unit rate
728.3916,352,1.14,830.366424,Distance*Unit rate
534.4872,347,1,534.4872,Distance*Unit rate
504.1144,347,1,504.1144,Distance*Unit rate
728.3916,228,0.88,640.984608,Distance*Unit rate
763.2092,347,1,763.2092,Distance*Unit rate
698.0188,352,1.14,795.741432,Distance*Unit rate
698.0188,347,1,698.0188,Distance*Unit rate
1140.0912,347,1,1140.0912,Distance*Unit rate
782.6552,347,1,782.6552,Distance*Unit rate
728.3916,347,1,728.3916,Distance*Unit rate
534.4872,228,0.88,470.348736,Distance*Unit rate
534.4872,352,1.14,609.315408,Distance*Unit rate
597.8256,347,1,597.8256,Distance*Unit rate
