Invoice Number,Document Number,Date,CALL SIGN.,Reg No,TYPE OF AIRCRAFT,MTOW (TONS),ROUTE,ENTRY POINT,ENTRY TIME,EXIT POINT,EXIT TIME,"TOTAL
DISTANCE (KM)",AMOUNT IN US$,AMOUNT IN PKR
ICIROTOPIS192025,1900026647,01-Apr-25,AIC106,VTJRB,A359,280,P500/T400,MOTMO,03:14,SULOM,03:57,728.3916,728.3916,206616
ICIROTOPIS192025,1900026647,01-Apr-25,AIC188,VTALU,B777,352,P500/T400,MOTMO,03:50,SULOM,04:34,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,01-Apr-25,AIC102,VTJRA,A359,280,P500/T400,MOTMO,04:12,SULOM,04:56,728.3916,728.3916,206616
ICIROTOPIS192025,1900026647,01-Apr-25,AIC126,VTALO,B777,352,P500/T400,MOTMO,05:01,SULOM,05:47,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,01-Apr-25,AIC186,VTALQ,B777,352,P500/T400,MOTMO,05:34,SULOM,06:21,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,01-Apr-25,AIC174,VTAEE,B772,347,L509/T400,LAJAK,08:00,SULOM,08:31,534.4872,534.4872,151613
ICIROTOPIS192025,1900026647,01-Apr-25,AIC190,VTAEH,B772,347,L509,LAJAK,16:50,SULOM,17:21,504.1144,504.1144,142997
ICIROTOPIS192025,1900026647,01-Apr-25,AIC176,VTAEF,B772,347,L509,LAJAK,18:16,SULOM,18:46,504.1144,504.1144,142997
ICIROTOPIS192025,1900026647,02-Apr-25,AIC104,VTANY,B787,228,P500/T400,MOTMO,02:13,SULOM,02:57,728.3916,640.9846,181822
ICIROTOPIS192025,1900026647,02-Apr-25,AIC116,VTALX,B77W,352,P500/T400,MOTMO,02:23,SULOM,03:09,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,02-Apr-25,AIC102,VTJRF,A359,280,P500/T400,MOTMO,03:00,SULOM,03:43,728.3916,728.3916,206616
ICIROTOPIS192025,1900026647,02-Apr-25,AIC106,VTJRH,A359,280,P500/T400,MOTMO,03:18,SULOM,04:01,728.3916,728.3916,206616
ICIROTOPIS192025,1900026647,02-Apr-25,AIC188,VTALM,B777,352,P500/T400,MOTMO,03:59,SULOM,04:41,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,02-Apr-25,AIC126,VTALT,B777,352,P500/T400,MOTMO,04:51,SULOM,05:35,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,02-Apr-25,AIC186,VTALS,B77L,352,P500/T400,MOTMO,06:00,SULOM,06:45,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,02-Apr-25,AIC174,VTAEI,B772,347,G796/G325/L750,LAJAK,07:20,MERUN,07:56,763.2092,763.2092,216492
ICIROTOPIS192025,1900026647,02-Apr-25,AIC190,VTALP,B777,352,P500/T400/L509,MOTMO,16:31,SULOM,17:15,698.0188,795.7414,225720
ICIROTOPIS192025,1900026647,02-Apr-25,AIC176,VTAEG,B772,347,L509,LAJAK,18:57,SULOM,19:28,504.1144,504.1144,142997
ICIROTOPIS192025,1900026647,02-Apr-25,AIC184,VTALH,B777,347,P500/T400/L509,MOTMO,19:25,SULOM,20:07,698.0188,698.0188,198000
ICIROTOPIS192025,1900026647,03-Apr-25,AIC104,VTANZ,B787,228,P500/T400,MOTMO,02:58,SULOM,03:41,728.3916,640.9846,181822
ICIROTOPIS192025,1900026647,14-Apr-25,AIC126,VTALU,B777,352,P500/T400,MOTMO,05:28,SULOM,06:12,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,14-Apr-25,AIC186,VTALO,B777,352,P500/T400,MOTMO,06:03,SULOM,06:46,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,14-Apr-25,AIC174,VTAEI,B772,347,L509/T400,LAJAK,08:36,SULOM,09:04,534.4872,534.4872,151613
ICIROTOPIS192025,1900026647,14-Apr-25,AIC190,VTALQ,B777,352,P500/T400/L509,MOTMO,16:59,SULOM,17:41,698.0188,795.7414,225720
ICIROTOPIS192025,1900026647,14-Apr-25,AIC180,VTAEH,B772,347,M881/G325/G326/N893,LAJAK,18:06,TELEM,18:56,1140.0912,1140.0912,323398
ICIROTOPIS192025,1900026647,15-Apr-25,AIC106,VTJRB,A359,280,P500/T400,MOTMO,03:44,SULOM,04:27,728.3916,728.3916,206616
ICIROTOPIS192025,1900026647,15-Apr-25,AIC188,VTALT,B777,352,P500/T400,MOTMO,04:34,SULOM,05:21,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,15-Apr-25,AIC126,VTALS,B77L,352,P500/T400,MOTMO,05:08,SULOM,05:52,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,15-Apr-25,AIC186,VTALM,B777,352,P500/T400,MOTMO,05:33,SULOM,06:17,728.3916,830.3664,235542
ICIROTOPIS192025,1900026647,15-Apr-25,AIC174,VTAEE,B772,347,L509/T400,LAJAK,07:36,SULOM,08:07,534.4872,534.4872,151613
ICIROTOPIS192025,1900026647,15-Apr-25,AIC102,VTJRH,A359,280,P500/T400,MOTMO,10:11,SULOM,10:53,728.3916,728.3916,206616
ICIROTOPIS192025,1900026647,15-Apr-25,AIC190,VTALN,B777,352,P500/T400/L509,MOTMO,17:37,SULOM,18:18,698.0188,795.7414,225720
ICIROTOPIS192025,1900026647,15-Apr-25,AIC176,VTAEG,B772,347,L509,LAJAK,18:28,SULOM,18:58,504.1144,504.1144,142997
ICIROTOPIS202025,1900059573,16-Apr-25,AIC104,VTNAC,B787,228,P500/T400,MOTMO,02:47,SULOM,03:33,728.3916,640.9846,181309
