MTOW,MTOW,Weight Factor,Distance Factor,Unit Rate,Formula
79000,79, 1.26 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
247207,247, 2.22 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
77000,77, 1.24 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
227930,228, 2.14 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
280000,280, 2.37 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
351534,352, 2.65 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
252650,253, 2.25 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
97000,97, 1.39 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
73500,74, 1.22 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
347451,347, 2.63 ,Distance/100,118,Weight Factor*Distance factor*Unit Rate
