Invoice No,"Line number
reference","Item
Description","Billing
Reference",Date,Time,"Aircraft
ID","Flight
Number","Origin
Code",Dest. Code,Entry Point,Exit Point,"Distance
Km","Aircraft
Type","Weight
Factor","Distance
Factor","Flight
Type","En-Route
Charge",Approach Charge,"Flight Total
Charge","Item Subtotal
Including VAT"
502012523021670,1,Landings-12884436,12884436,01-Jun-25,0.059028,VTCIII,AIC921,VABB,DERK,PEKEM,DERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,2,Landings-12884849,12884849,01-Jun-25,0.158252,VTCfI,AJC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,3,Landings-12885689,12885689,01-Jun-25,0.540278,VTCIQ,AIC925,VIDP,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
502012523021670,4,Landings-12885994,12885994,01-Jun-25,0.605799,VTCIQ,AJC926,DERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,5,Overflights-12886180,12886180,01-Jun-25,0.630417,VTTSP,AICl42,OJAI,VIDP,TULEP,DAROR,1323,8789,2.25,13.23,s,3512.57,0,3512.57,3512.57
502012523021670,6,Landings-1288635,1288635,01-Jun-25,0.722917,VTEXK,AIC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,7,Landings-12886438,12886438,01-Jun-25,I 8:07:00,VTTQF,AIC991,VIDP,OEJN,TOKRA,OEJN,1675,A20N,1.26,16.75,s,2490.39,252,2742.39,2742.39
502012523021670,8,Landings-12886530,12886530,01-Jun-25,0.7875,VTCII,AIC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,9,Landings-12886745,12886745,01-Jun-25,0.818843,VTTQF,AIC992,OEJN,VIDP,OEJN,MIDGU,1675,A20N,1.26,16.75,s,2490.39,0,2.490.39,2490.39
502012523021670,10,Landings-12886765,12886765,01-Jun-25,0.826238,VTEXK,AIC932,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2.490.39,2490.39
502012523021670,11,Landings-12886734,12886734,01-Jun-25,0.858275,VTCII-I,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,12,Landings-12887351,12887351,02-Jun-25,0.102778,VTCIN,AJC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,13,Landings-12887657,12887657,02-Jun-25,0.180752,VTCIN,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,14,Landings-12888987,12888987,02-Jun-25,0.695139,VTCIP,AIC991,VIDP,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,15,Landings-12889256,12889256,02-Jun-25,0.745741,VTCIP,AIC992,OEJN,VIDP,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,16,Landings-12889128,12889128,02-Jun-25,0.749306,VTEXK,AIC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,17,Landings-12889208,12889208,02-Jun-25,0.777083,VTCIQ,AIC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,18,"Landings -
12889452",12889452,02-Jun-25,0.818681,VTEXK,AIC932,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,19,"Landings -
12889442",12889442,02-Jun-25,0.862998,VTCIQ,AJC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,20,"Landings -
12890413",12890413,03-Jun-25,0.091667,VTEXO,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,21,"Landings -
12890753",12890753,03-Jun-25,0.185162,VTEXO,AJC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,22,"Landings -
12891527",12891527,03-Jun-25,0.547917,VTEXU,AIC925,VIDP,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
502012523021670,23,"Landings -
12892096",12892096,03-Jun-25,I 6:37:00,VTEXK,AIC937,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,24,"Landings -
12892208",12892208,03-Jun-25,0.73125,VTCIM,AIC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
