Invoice No,Flight Number,Aircraft ID,Origin Code,Dest. Code,Distance Km,MTOW_Tonnes,Calc_Weight_Factor,Calculated_Charge,Vendor_Charge,Status
502012523021670,AIC921,VTCIII,VABB,DERK,760.0,,,,1381.97,Not Matched
502012523021670,AJC922,VTCfI,OERK,VABB,926.0,,,,1376.78,Not Matched
502012523021670,AIC925,VTCIQ,VIDP,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AJC926,VTCIQ,DERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AICl42,VTTSP,OJAI,VIDP,1323.0,247.207,2.22,3465.73,3512.57,Not Matched
502012523021670,AIC931,VTEXK,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC991,VTTQF,VIDP,OEJN,1675.0,77.0,1.24,2450.86,2742.39,Not Matched
502012523021670,AIC935,VTCII,VABB,OEDF,36.0,,,,305.52,Not Matched
502012523021670,AIC992,VTTQF,OEJN,VIDP,1675.0,77.0,1.24,2450.86,,Not Matched
502012523021670,AIC932,VTEXK,OEJN,VABB,1675.0,79.0,1.26,2490.39,,Not Matched
502012523021670,AIC936,VTCII-I,OEDF,VABB,58.0,,,,86.23,Not Matched
502012523021670,AJC921,VTCIN,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AIC922,VTCIN,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AIC991,VTCIP,VIDP,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC992,VTCIP,OEJN,VIDP,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC931,VTEXK,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC935,VTCIQ,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC932,VTEXK,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AJC936,VTCIQ,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXO,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AJC922,VTEXO,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AIC925,VTEXU,VIDP,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AIC937,VTEXK,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC931,VTCIM,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC991,VTEXL,VIDP,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC935,VTEXO,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC938,VTEXK,OEJN,VABB,1675.0,79.0,1.26,2490.39,,Not Matched
502012523021670,AIC992,VTEXL,OEJN,VIDP,1675.0,79.0,1.26,2490.39,,Not Matched
502012523021670,AJC932,VTCIM,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC936,VTEXO,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXJ,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AIC922,VTEXI,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AIC991,VTEXL,VIDP,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
