Aircraft_Reg,Distance_km,Unit_Rate,MTOW,Calculated_Charge,Vendor_Charge,Difference,Status
VTJRA,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
VTJRH,1160.0,92.0,280.0,1067.2,1067.2,0.0,Matched
VTAEN,1160.0,96.0,351.5,1113.6,1113.6,0.0,Matched
VTALX,1160.0,96.0,351.5,1113.6,1113.6,0.0,Matched
VTJRF,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
VTJRA,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
VTAEQ,1160.0,96.0,351.5,1113.6,1113.6,0.0,Matched
VTJRA,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
VTAER,1170.0,96.0,351.5,1123.2,1123.2,0.0,Matched
VTALU,1170.0,96.0,351.5,1123.2,1123.2,0.0,Matched
VTJRH,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
VTJRF,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
VTAEN,1170.0,96.0,351.5,1123.2,1123.2,0.0,Matched
VTJRI,1170.0,92.0,280.0,1076.4,1076.4,0.0,Matched
