Invoice Number,Document Number,Date,CALL SIGN.,Reg No,TYPE OF AIRCRAFT,MTOW (TONS),ROUTE,ENTRY POINT,ENTRY TIME,EXIT POINT,EXIT TIME,"TOTAL
DISTANCE (KM)",AMOUNT IN US$,AMOUNT IN PKR
ICIROTOPKC192025,1900026648,01-Apr-25,AIC2028,VTTSQ,B789,253,L124/G210,KEBUD,00:18,TELEM,01:05,717.65,717.65,203569
ICIROTOPKC192025,1900026648,01-Apr-25,AIC129,VTAEP,B773,352,P518/L124,KABIM,00:50,KEBUD,01:28,593.1956,676.243,191823
ICIROTOPKC192025,1900026648,01-Apr-25,AIC172,VTANA,B788,228,L124/G210,KEBUD,02:45,TELEM,03:33,717.65,631.532,179140
ICIROTOPKC192025,1900026648,01-Apr-25,AIC130,VTAEM,B773,352,L124/G210,KEBUD,03:09,TELEM,03:59,717.65,818.121,232068
ICIROTOPKC192025,1900026648,01-Apr-25,AIC116,VTAER,B773,352,L124/G210,KEBUD,03:43,TELEM,04:30,717.65,818.121,232068
ICIROTOPKC192025,1900026648,01-Apr-25,AIC132,VTANR,B788,228,L124/G210,KEBUD,04:33,TELEM,05:24,717.65,631.532,179140
ICIROTOPKC192025,1900026648,01-Apr-25,AIC2208,VTTSO,B789,247,B505/G214/G452,APELO,07:04,MERUN,08:02,1243.0624,1093.8949,310294
ICIROTOPKC192025,1900026648,01-Apr-25,AIC145,VTNAC,B787,228,G208/B210/N636,PARTY,08:15,SERKA,09:07,799.5084,703.5674,199574
ICIROTOPKC192025,1900026648,01-Apr-25,AIC171,VTANE,B788,228,G208/B210/N636,PARTY,09:11,SERKA,10:03,799.5084,703.5674,199574
ICIROTOPKC192025,1900026648,01-Apr-25,AIC131,VTAEN,B773,352,P518/L124,KABIM,10:31,KEBUD,11:09,593.1956,676.243,191823
ICIROTOPKC192025,1900026648,01-Apr-25,AIC918,VTSCV,A319,68,G216/R471,ALPOR,10:10,MERUN,11:20,1285.288,745.467,211459
ICIROTOPKC192025,1900026648,01-Apr-25,AIC133,VTANR,B788,228,P518/L124,KABIM,10:58,KEBUD,11:37,593.1956,522.0121,148074
ICIROTOPKC192025,1900026648,01-Apr-25,AIC926,VTEXH,A320,79,G216/R471,ALPOR,16:26,MERUN,17:50,1285.288,745.467,211459
ICIROTOPKC192025,1900026648,01-Apr-25,AIC2206,VTTSO,B789,247,G216/R471,ALPOR,17:51,MERUN,19:08,1285.288,1131.0534,320835
ICIROTOPKC192025,1900026648,01-Apr-25,AIC128,VTAEP,B773,352,L124/G210,KEBUD,18:53,TELEM,19:40,717.65,818.121,232068
