Invoice Number,Document Number,Date,CALL SIGN.,Reg No,TYPE OF AIRCRAFT,MTOW (TONS),ROUTE,ENTRY POINT,ENTRY TIME,EXIT POINT,EXIT TIME,"TOTAL
DISTANCE (KM)",AMOUNT IN US$,AMOUNT IN PKR
ICIROTOPLA192025,1900026645,01-Apr-25,AIC138,VTANT,B788,228,N644/A466,DOBAT,01:00,SULOM,01:30,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC152,VTANE,B788,228,N644/A466,DOBAT,01:05,SULOM,01:35,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC2025,VTTSD,B789,247,A466/N644,SULOM,00:57,DOBAT,01:40,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC158,VTANB,B788,228,N644/A466,DOBAT,01:10,SULOM,01:41,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC185,VTALS,B77L,352,T400/P500,SULOM,01:42,MOTMO,01:57,728.3916,830.3664,235542
ICIROTOPLA192025,1900026645,01-Apr-25,AIC156,VTANP,B788,228,N644/A466,DOBAT,01:25,SULOM,01:57,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC2030,VTTSN,B789,247,N644/A466,DOBAT,01:30,SULOM,02:00,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC142,VTANO,B787,228,N644/A466,DOBAT,01:36,SULOM,02:07,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC147,VTANV,B788,228,A466/N644,SULOM,02:18,DOBAT,03:01,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC114,VTANC,B788,228,N644/A466,DOBAT,02:41,SULOM,03:11,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC111,VTJRI,A359,280,A466/N644,SULOM,02:30,DOBAT,03:13,542.636,542.636,153924
ICIROTOPLA192025,1900026645,01-Apr-25,AIC2018,VTTSH,B789,247,N644/A466,DOBAT,02:45,SULOM,03:16,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC2207,VTTSO,B789,247,G452/G214/T385,MERUN,01:58,TAPDO,03:25,1223.4312,1076.6195,305394
ICIROTOPLA192025,1900026645,01-Apr-25,AIC917,VTSCV,A319,68,G452/G214/T385,MERUN,05:18,TAPDO,05:49,1223.4312,709.5901,201282
ICIROTOPLA192025,1900026645,01-Apr-25,AIC117,VTANO,B787,228,A456/A466/N644,RABAN,08:34,DOBAT,09:20,545.414,479.9643,136147
ICIROTOPLA192025,1900026645,01-Apr-25,AIC155,VTANB,B788,228,A466/N644,SULOM,08:50,DOBAT,09:33,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC143,VTANP,B788,228,A466/N644,SULOM,08:54,DOBAT,09:38,542.636,477.5197,135453
ICIROTOPLA192025,1900026645,01-Apr-25,AIC925,VTEXH,A320,79,R471/G214/T385,MERUN,09:16,TAPDO,09:47,1223.4312,709.5901,201282
