Invoice number,Date,Time GMT,Flight Number,Aircraft Type,Aircraft Regis.,Airport Depart,Airport Arrival,"NAC/
Tango Charge","Core NATS
Charge",Satellite Data Charge,Total charge
90744368,11-Nov-25,01:30,AIC188,B77W,VTALQ,CYYZ,VIDP,NAC,57.6,38.89,96.49
90744368,11-Nov-25,02:28,AIC126,B77W,VTALS,KORD,VIDP,NAC,57.6,38.89,96.49
90744368,11-Nov-25,06:52,AIC119,B77W,VTAEO,VABB,KJFK,NAC,57.6,38.89,96.49
90744368,11-Nov-25,08:09,AIC105,A359,VTJRI,VIDP,KEWR,NAC,57.6,38.89,96.49
90744368,11-Nov-25,21:09,AIC116,B77W,VTAEO,KJFK,VABB,NAC,57.6,38.89,96.49
90744368,11-Nov-25,21:58,AIC106,A359,VTJRI,KEWR,VIDP,NAC,57.6,38.89,96.49
90744368,12-Nov-25,06:48,AIC119,B77W,VTAEQ,VABB,KJFK,NAC,57.6,38.89,96.49
90744368,12-Nov-25,07:47,AIC191,B77W,VTALS,VABB,KEWR,NAC,57.6,38.89,96.49
90744368,12-Nov-25,08:21,AIC101,A359,VTJRA,VIDP,KJFK,NAC,57.6,38.89,96.49
90744368,12-Nov-25,10:15,AIC187,B77W,VTALT,LOWW,CYYZ,NAC,57.6,38.89,96.49
90744368,12-Nov-25,10:52,AIC127,B77W,VTALQ,LOWW,KORD,NAC,57.6,38.89,96.49
90744368,12-Nov-25,20:44,AIC116,B77W,VTAEQ,KJFK,VABB,NAC,57.6,38.89,96.49
90744368,12-Nov-25,21:53,AIC102,A359,VTJRA,KJFK,VIDP,NAC,57.6,38.89,96.49
90744368,12-Nov-25,22:03,AIC144,B77W,VTALS,KEWR,VABB,NAC,57.6,38.89,96.49
90744368,13-Nov-25,00:05,AIC188,B77W,VTALT,CYYZ,VIDP,NAC,57.6,38.89,96.49
90744368,13-Nov-25,01:53,AIC126,B77W,VTALQ,KORD,VIDP,NAC,57.6,38.89,96.49
90744368,13-Nov-25,06:57,AIC119,B77W,VTAEO,VABB,KJFK,NAC,57.6,38.89,96.49
90744368,13-Nov-25,08:30,AIC101,A359,VTJRE,VIDP,KJFK,NAC,57.6,38.89,96.49
90744368,13-Nov-25,09:03,AIC105,A359,VTJRB,VIDP,KEWR,NAC,57.6,38.89,96.49
90744368,13-Nov-25,09:49,AIC187,B77W,VTALM,LOWW,CYYZ,NAC,57.6,38.89,96.49
90744368,13-Nov-25,21:27,AIC116,B77W,VTAEO,KJFK,VABB,NAC,57.6,38.89,96.49
90744368,13-Nov-25,21:56,AIC102,A359,VTJRE,KJFK,VIDP,NAC,57.6,38.89,96.49
90744368,13-Nov-25,22:43,AIC106,A359,VTJRB,KEWR,VIDP,NAC,57.6,38.89,96.49
90744368,14-Nov-25,07:14,AIC191,B77W,VTAEM,VABB,KEWR,NAC,57.6,38.89,96.49
90744368,14-Nov-25,08:12,AIC101,A359,VTJRF,VIDP,KJFK,NAC,57.6,38.89,96.49
90744368,14-Nov-25,09:48,AIC187,B77W,VTALT,LOWW,CYYZ,NAC,57.6,38.89,96.49
90744368,14-Nov-25,10:43,AIC127,B77W,VTALN,LOWW,KORD,NAC,57.6,38.89,96.49
90744368,15-Nov-25,06:58,AIC119,B77W,VTAEO,VABB,KJFK,NAC,57.6,38.89,96.49
90744368,15-Nov-25,07:37,AIC101,A359,VTJRB,VIDP,KJFK,NAC,57.6,38.89,96.49
