NATS_Charge_Value,Satellite_Charge_Value,Calculated_Charge,Vendor_Charge,Difference,Status
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
57.6,38.89,96.49000000000001,96.49,1.4210854715202004e-14,Matched
