Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
20,"2025-08-31
00:00",AIC1 01,VTJRE,A359,KJFK  @  Destination VIDP  @  Origin,,"0
0",280.0000  @ TON,"N/P
2025-09-01  00:28  @  Entry",,1.8000,MENSA RASKI,"774.000  @  KM
774.000  @  KM",,1.0000,436.63,436.63,
20,"2025-08-31
01:53",AIC9 21,VTRTT,A20N,"VABB  @  Origin
OERK  @  Destination",,"0
0","79.0000  @
TON","2025-09-01  00:15  @  Entry
2025-09-01  22:35  @  Exit",,1.2200,PARAR MENSA,"726.000  @  KM
726.000  @  KM",,1.0000,277.58,277.58,
20,"2025-08-31
02:45",AIC2 028,VTANI,B788,"VABB  @  Destination
EDDF  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  18:20  @  Exit
2025-09-01  00:45  @  Entry",,1.7100,PARAR MESPO,"424.000  @  KM
424.000  @  KM",,1.0000,227.23,227.23,
20,"2025-08-31
03:07","AIC1
52",VTANK,B788,"LSZH  @  Origin
VIDP  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  01:04  @  Entry
2025-09-01  19:15  @  Exit",,1.7100,"MESPO
RASKI","453.000  @  KM
453.000  @  KM",,1.0000,242.77,242.77,
20,"2025-08-31
03:29","AIC1
56",VTALQ,B77W,"VIDP  @  Destination
EHAM  @  Origin",,"0
0","352.0000  @
TON","2025-09-01  18:40  @  Exit
2025-09-01  00:42  @  Entry",,1.9500,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,476.07,476.07,
20,"2025-08-31
03:54",AIC1 58,VTANO,B788,"EKCH  @  Origin
VIDP  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  01:27  @  Entry
2025-09-01  19:30  @  Exit",,1.7100,MESPO RASKI,"453.000  @  KM
453.000  @  KM",,1.0000,242.77,242.77,
20,"2025-08-31
04:04",AIC2 030,VTTSO,B789,"VIDP  @  Destination
EDDF  @  Origin",,"0
0","255.0000  @
TON","2025-09-01  19:15  @  Exit
2025-09-01  01:38  @  Entry",,1.7100,RASKI MESPO,"453.000  @  KM
453.000  @  KM",,1.0000,242.77,242.77,
20,"2025-08-31
04:06","AIC1
38",VTANJ,B788,"VIDP  @  Destination
LIMC  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  19:00  @  Exit
2025-09-01  01:15  @  Entry",,1.7100,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-08-31
04:25","AIC1
42",VTANZ,B788,"LFPG  @  Origin
VIDP  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  01:34  @  Entry
2025-09-01  18:45  @  Exit",,1.7100,"TONVO
RASKI","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-08-31
04:51",AIC1 30,VTAEP,B77W,"EGLL  @  Origin
VABB  @  Destination",,"0
0","352.0000  @
TON","2025-09-01  02:58  @  Entry
2025-09-01  20:05  @  Exit",,1.9500,MESPO PARAR,"424.000  @  KM
424.000  @  KM",,1.0000,259.12,259.12,
20,"2025-08-31
04:58","AIC2
018",VTTSP,B789,"VIDP  @  Destination
EGLL  @  Origin",,"0
0","255.0000  @
TON","2025-09-01  19:35  @  Exit
2025-09-01  02:10  @  Entry",,1.7100,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-08-31
05:04","AIC1
44",VTAEQ,B77W,"KEWR  @  Origin
VABB  @  Destination",,"0
0","352.0000  @
TON","2025-09-01  03:19  @  Entry
2025-09-01  15:30  @  Exit",,1.9500,"MESPO
PARAR","424.000  @  KM
424.000  @  KM",,1.0000,259.12,259.12,
20,"2025-08-31
06:42",AIC1 32,VTANC,B788,"VOBL  @  Destination
EGLL  @  Origin",,"0
0","228.0000  @
TON","2025-09-01  21:10  @  Exit
2025-09-01  03:54  @  Entry",,1.7100,PARAR MESPO,"424.000  @  KM
424.000  @  KM",,1.0000,227.23,227.23,
20,"2025-08-31
07:13","AIC1
02",VTJRA,A359,"VIDP  @  Destination
KJFK  @  Origin",,"0
0","280.0000  @
TON","2025-09-01  16:40  @  Exit
2025-09-01  04:24  @  Entry",,1.8000,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,439.45,439.45,
20,"2025-08-31
08:33",AIC1 29,VTAEN,B77W,"VABB  @  Origin
EGLL  @  Destination",,"0
0","352.0000  @
TON","2025-09-01  01:21  @  Entry
2025-09-01  23:35  @  Exit",,1.9500,PARAR MENSA,"726.000  @  KM
726.000  @  KM",,1.0000,443.68,443.68,
20,"2025-08-31
08:46","AIC1
88",VTALR,B77W,"VIDP  @  Destination
CYYZ  @  Origin",,"0
0","352.0000  @
TON","2025-09-01  17:10  @  Exit
2025-09-01  05:57  @  Entry",,1.9500,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,476.07,476.07,
20,"2025-08-31
11:26","AIC1
26",VTALT,B77W,"VIDP  @  Destination
KORD  @  Origin",,"0
0","352.0000  @
TON","2025-09-01  18:10  @  Exit
2025-09-01  09:15  @  Entry",,1.9500,"RASKI
MESPO","453.000  @  KM
453.000  @  KM",,1.0000,276.84,276.84,
20,"2025-09-01
00:00","AIC9
19",VTTNY,A20N,"VABB  @  Origin
OMDB  @  Destination",,"0
0","77.0000  @
TON","2025-09-01  12:20  @  Entry
N/P",,1.2200,"PARAR
MENSA","731.000  @  KM
731.000  @  KM",,1.0000,279.50,279.50,
20,"2025-09-01
00:00",AIC2 207,VTTSN,B789,"OMDB  @  Destination
VIDP  @  Origin",,"0
0","255.0000  @
TON","N/P
2025-09-01  04:16  @  Entry",,1.7100,MENSA RASKI,"781.000  @  KM
781.000  @  KM",,1.0000,418.55,418.55,
20,"2025-09-01
00:00","AIC9
09",VTANP,B788,"VABB  @  Origin
OMDB  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  04:52  @  Entry
N/P",,1.7100,"PARAR
MENSA","731.000  @  KM
731.000  @  KM",,1.0000,391.75,391.75,
20,"2025-09-01
00:00",AIC9 33,VTEXP,A20N,"OMDB  @  Destination
VOCI  @  Origin",,"0
0","77.0000  @
TON","N/P
2025-09-01  07:55  @  Entry",,1.2200,TARDI LOTAV,"659.000  @  KM
659.000  @  KM",,1.0000,251.97,251.97,
20,"2025-09-01
00:00","AIC9
15",VTANV,B788,"OMDB  @  Destination
VIDP  @  Origin",,"0
0","228.0000  @
TON","N/P
2025-09-01  14:08  @  Entry",,1.7100,"MENSA
RASKI","781.000  @  KM
781.000  @  KM",,1.0000,418.55,418.55,
Billing Entity: XB-E38 Civil Aviation Authority,,,,,,"Invoice #: 0320860591
Billing Period: Oct 2025, 02 Currency of Billing: USD",,,,"Charge Catgory: ATC
Charge Code: En-Route",,,,Billed Entity: AI-098 AIR INDIA LTD,,,,
,,,,,,,,,,,,,,,,,,
Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
20,"2025-09-01
00:00",AIC1 05,VTJRI,A359,"VIDP  @  Origin
KEWR  @  Destination",,"0
0",280.0000  @ TON,"2025-09-01  22:51  @  Entry
N/P",,1.8000,RASKI MENSA,"774.000  @  KM
774.000  @  KM",,1.0000,436.63,436.63,
20,"2025-09-01
00:00",AIC2 201,VTTVC,A21N,"OMDB  @  Destination
VABB  @  Origin",,"0
0","89.0000  @
TON","N/P
2025-09-01  12:45  @  Entry",,1.2200,MENSA PARAR,"731.000  @  KM
731.000  @  KM",,1.0000,279.50,279.50,
20,"2025-09-01
00:00","AIC9
45",VTRTT,A20N,"OMAA  @  Destination
VABB  @  Origin",,"0
0","79.0000  @
TON","N/P
2025-09-01  17:39  @  Entry",,1.2200,"SODEX
PARAR","792.000  @  KM
792.000  @  KM",,1.0000,302.82,302.82,
20,"2025-09-01
00:00","AIC9
17",VTANY,B788,"VIDP  @  Origin
OMDB  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  06:18  @  Entry
N/P",,1.7100,"RASKI
MENSA","781.000  @  KM
781.000  @  KM",,1.0000,418.55,418.55,
20,"2025-09-01
00:00","AIC9
83",VTANP,B788,"OMDB  @  Destination
VABB  @  Origin",,"0
0","228.0000  @
TON","N/P
2025-09-01  16:51  @  Entry",,1.7100,"MENSA
PARAR","731.000  @  KM
731.000  @  KM",,1.0000,391.75,391.75,
20,"2025-09-01
00:00",AIC2 203,VTTNQ,A20N,"VOHS  @  Origin
OMDB  @  Destination",,"0
0","77.0000  @
TON","2025-09-01  16:38  @  Entry
N/P",,1.2200,PARAR MENSA,"731.000  @  KM
731.000  @  KM",,1.0000,279.50,279.50,
20,"2025-09-01
00:08",AIC9 32,VTCIQ,A20N,"VABB  @  Destination
OEJN  @  Origin",,"0
0","79.0000  @
TON","2025-09-02  19:40  @  Exit
2025-09-01  21:54  @  Entry",,1.2200,PARAR MIDGU,"797.000  @  KM
797.000  @  KM",,1.0000,304.73,304.73,
20,"2025-09-01
00:16","AIC2
026",VTTSD,B789,"EDDF  @  Origin
VIDP  @  Destination",,"0
0","255.0000  @
TON","2025-09-01  21:31  @  Entry
2025-09-02  15:25  @  Exit",,1.7100,"TONVO
RASKI","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-09-01
02:13","AIC9
21",VTEXP,A20N,"OERK  @  Destination
VABB  @  Origin",,"0
0","77.0000  @
TON","2025-09-02  22:35  @  Exit
2025-09-02  00:10  @  Entry",,1.2200,"MENSA
PARAR","726.000  @  KM
726.000  @  KM",,1.0000,277.58,277.58,
20,"2025-09-01
02:45",AIC2 028,VTANI,B788,"EDDF  @  Origin
VABB  @  Destination",,"0
0","228.0000  @
TON","2025-09-02  00:21  @  Entry
2025-09-02  18:20  @  Exit",,1.7100,TONVO PARAR,"732.000  @  KM
732.000  @  KM",,1.0000,392.29,392.29,
20,"2025-09-01
04:00","AIC1
16",VTAER,B77W,"VABB  @  Destination
KJFK  @  Origin",,"0
0","352.0000  @
TON","2025-09-01  00:00  @  Exit
2025-09-01  02:36  @  Entry",,1.9500,"PARAR
TONVO","732.000  @  KM
732.000  @  KM",,1.0000,447.35,447.35,
20,"2025-09-01
04:18",AIC1 56,VTALP,B77W,"EHAM  @  Origin
VIDP  @  Destination",,"0
0",352.0000  @ TON,"2025-09-02  01:32  @  Entry
2025-09-02  18:40  @  Exit",,1.9500,TONVO RASKI,"779.000  @  KM
779.000  @  KM",,1.0000,476.07,476.07,
20,"2025-09-01
04:26",AIC1 52,VTANZ,B788,"LSZH  @  Origin
VIDP  @  Destination",,"0
0","228.0000  @
TON","2025-09-02  01:38  @  Entry
2025-09-02  19:15  @  Exit",,1.7100,TONVO RASKI,"779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-09-01
04:41","AIC2
030",VTTSP,B789,"VIDP  @  Destination
EDDF  @  Origin",,"0
0","255.0000  @
TON","2025-09-02  19:40  @  Exit
2025-09-02  01:55  @  Entry",,1.7100,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-09-01
04:58",AIC1 58,VTANU,B788,"VIDP  @  Destination
EKCH  @  Origin",,"0
0","228.0000  @
TON","2025-09-02  20:05  @  Exit
2025-09-02  02:10  @  Entry",,1.7100,RASKI TONVO,"779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-09-01
05:02",AIC1 16,VTAER,B77W,VABB  @  Destination KJFK  @  Origin,,"0
0",352.0000  @ TON,"2025-09-02  15:10  @  Exit
2025-09-02  02:43  @  Entry",,1.9500,PARAR TONVO,"732.000  @  KM
732.000  @  KM",,1.0000,447.35,447.35,
20,"2025-09-01
05:18",AIC1 30,VTAEQ,B77W,"VABB  @  Destination
EGLL  @  Origin",,"0
0","352.0000  @
TON","2025-09-02  20:05  @  Exit
2025-09-02  03:23  @  Entry",,1.9500,PARAR MESPO,"424.000  @  KM
424.000  @  KM",,1.0000,259.12,259.12,
20,"2025-09-01
05:25","AIC2
018",VTTSH,B789,"EGLL  @  Origin
VIDP  @  Destination",,"0
0","255.0000  @
TON","2025-09-02  02:38  @  Entry
2025-09-02  19:35  @  Exit",,1.7100,"TONVO
RASKI","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
20,"2025-09-01
05:43","AIC1
42",VTANR,B788,"VIDP  @  Destination
LFPG  @  Origin",,"0
0","228.0000  @
TON","2025-09-02  18:45  @  Exit
2025-09-02  02:54  @  Entry",,1.7100,"RASKI
TONVO","779.000  @  KM
779.000  @  KM",,1.0000,417.48,417.48,
