Flight_DateTime,Flight_No,Aircraft_Reg,Aircraft_Type,MTOW_Tonnes,MTOW_kg,Distance_km,Distance_Factor,Unit_Rate,Weight_Factor,Calculated_Charge,Vendor_Charge,Status
"2025-08-31
00:00",AIC1 01,VTJRE,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
"2025-08-31
01:53",AIC9 21,VTRTT,A20N,79.0,79000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-08-31
02:45",AIC2 028,VTANI,B788,228.0,228000.0,424.0,4.24,31.34,1.71,227.23,227.23,Matched
"2025-08-31
03:07","AIC1
52",VTANK,B788,228.0,228000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-08-31
03:29","AIC1
56",VTALQ,B77W,352.0,352000.0,779.0,7.79,31.34,1.95,476.07,476.07,Matched
"2025-08-31
03:54",AIC1 58,VTANO,B788,228.0,228000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-08-31
04:04",AIC2 030,VTTSO,B789,255.0,255000.0,453.0,4.53,31.34,1.71,242.77,242.77,Matched
"2025-08-31
04:06","AIC1
38",VTANJ,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-08-31
04:25","AIC1
42",VTANZ,B788,228.0,228000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-08-31
04:51",AIC1 30,VTAEP,B77W,352.0,352000.0,424.0,4.24,31.34,1.95,259.12,259.12,Matched
"2025-08-31
04:58","AIC2
018",VTTSP,B789,255.0,255000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-08-31
05:04","AIC1
44",VTAEQ,B77W,352.0,352000.0,424.0,4.24,31.34,1.95,259.12,259.12,Matched
"2025-08-31
06:42",AIC1 32,VTANC,B788,228.0,228000.0,424.0,4.24,31.34,1.71,227.23,227.23,Matched
"2025-08-31
07:13","AIC1
02",VTJRA,A359,280.0,280000.0,779.0,7.79,31.34,1.8,439.45,439.45,Matched
"2025-08-31
08:33",AIC1 29,VTAEN,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-08-31
08:46","AIC1
88",VTALR,B77W,352.0,352000.0,779.0,7.79,31.34,1.95,476.07,476.07,Matched
"2025-08-31
11:26","AIC1
26",VTALT,B77W,352.0,352000.0,453.0,4.53,31.34,1.95,276.84,276.84,Matched
"2025-09-01
00:00","AIC9
19",VTTNY,A20N,77.0,77000.0,731.0,7.31,31.34,1.22,279.5,279.5,Matched
"2025-09-01
00:00",AIC2 207,VTTSN,B789,255.0,255000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
