Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
10,"2025-04-02
00:00",AIC9 61,VTANM,B788,"VIDP  @  Origin
HKJK  @  Destination",,MOG MOG,227.9300  @ TON,"2025-04-02  12:31  @  Entry
2025-04-02  15:34  @  Exit",,,ORLID KESOM,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-02
00:00","AIC9
62",VTANM,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-02  18:18  @  Entry
2025-04-02  21:06  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-04
00:00","AIC9
61",VTANM,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-04  15:54  @  Exit
2025-04-04  13:12  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-04
00:00","AIC9
62",VTANM,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-04  21:50  @  Exit
2025-04-04  19:06  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-06
00:00",AIC9 61,VTNAC,B788,HKJK  @  Destination VIDP  @  Origin,,MOG MOG,227.9300  @ TON,"2025-04-06  15:01  @  Exit
2025-04-06  12:18  @  Entry",,,KESOM ORLID,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-06
00:00","AIC9
62",VTNAC,B788,"HKJK  @  Origin
VIDP  @  Destination",,"MOG
MOG","227.9300  @
TON","2025-04-06  18:13  @  Entry
2025-04-06  20:59  @  Exit",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-07
00:00",AIC9 61,VTANM,B788,"VIDP  @  Origin
HKJK  @  Destination",,MOG MOG,227.9300  @ TON,"2025-04-07  11:48  @  Entry
2025-04-07  14:23  @  Exit",,,ORLID KESOM,"2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-07
00:00","AIC9
62",VTANM,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-07  20:52  @  Exit
2025-04-07  18:00  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-09
00:00","AIC9
62",VTANQ,B788,"VIDP  @  Destination
HKJK  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-09  20:58  @  Exit
2025-04-09  18:06  @  Entry",,,"ORLID
KESOM","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
10,"2025-04-09
00:00","AIC9
61",VTANQ,B788,"HKJK  @  Destination
VIDP  @  Origin",,"MOG
MOG","227.9300  @
TON","2025-04-09  14:58  @  Exit
2025-04-09  12:21  @  Entry",,,"KESOM
ORLID","2,438.690  @  NMI
2,438.690  @  NMI",,1.0000,395.00,395.00,
