Aircraft_Reg,MTOW,Calculated_Charge,Vendor_Charge,Difference,Status
VTANM,227930.0,395,395.0,0.0,Matched
VTANM,227930.0,395,395.0,0.0,Matched
VTANM,227930.0,395,395.0,0.0,Matched
VTANM,227930.0,395,395.0,0.0,Matched
VTNAC,227930.0,395,395.0,0.0,Matched
VTNAC,227930.0,395,395.0,0.0,Matched
VTANM,227930.0,395,395.0,0.0,Matched
VTANM,227930.0,395,395.0,0.0,Matched
VTANQ,227930.0,395,395.0,0.0,Matched
VTANQ,227930.0,395,395.0,0.0,Matched
VTANS,227930.0,395,395.0,0.0,Matched
VTANS,227930.0,395,395.0,0.0,Matched
VTNAA,227930.0,395,395.0,0.0,Matched
VTNAA,227930.0,395,395.0,0.0,Matched
VTANL,227930.0,395,395.0,0.0,Matched
VTANL,227930.0,395,395.0,0.0,Matched
VTANA,227930.0,395,395.0,0.0,Matched
VTANA,227930.0,395,395.0,0.0,Matched
VTANL,227930.0,395,395.0,0.0,Matched
VTANL,227930.0,395,395.0,0.0,Matched
VTANP,227930.0,395,395.0,0.0,Matched
VTANP,227930.0,395,395.0,0.0,Matched
VTANP,227930.0,395,395.0,0.0,Matched
VTANP,227930.0,395,395.0,0.0,Matched
VTANS,227930.0,395,395.0,0.0,Matched
VTANS,227930.0,395,395.0,0.0,Matched
VTANZ,227930.0,395,395.0,0.0,Matched
VTANZ,227930.0,395,395.0,0.0,Matched
VTANI,227930.0,395,395.0,0.0,Matched
VTANI,227930.0,395,395.0,0.0,Matched
VTANU,227930.0,395,395.0,0.0,Matched
VTANU,227930.0,395,395.0,0.0,Matched
VTANW,227930.0,395,395.0,0.0,Matched
VTANW,227930.0,395,395.0,0.0,Matched
