INV,Date,Dept Time,A/C Type,Reg No. Dept,,Dest,Ref No.,Flight No.,,A/N Charge,Holiday Charge,O/T Charge,Total
1900357155,01-09-2025,11:59:00,A20N,VTCID,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,01-09-2025,14:16:00,A20N,VTCID,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,02-09-2025,11:47:00,A20N,VTEXK,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,02-09-2025,14:35:00,A20N,VTEXK,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,02-09-2025,18:39:00,B788,VTANY,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900357155,03-09-2025,12:09:00,A20N,VTEXU,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,03-09-2025,14:21:00,A20N,VTEXU,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,04-09-2025,11:55:00,A20N,VTEXH,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,04-09-2025,14:26:00,A20N,VTEXH,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,05-09-2025,12:04:00,A20N,VTEXU,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,05-09-2025,14:19:00,A20N,VTEXU,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,05-09-2025,18:03:00,B788,VTANZ,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900357155,05-09-2025,18:26:00,B788,VTANK,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900357155,06-09-2025,12:37:00,A20N,VTCID,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,06-09-2025,14:55:00,A20N,VTCID,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,06-09-2025,17:34:00,B788,VTANY,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900357155,07-09-2025,11:44:00,A20N,VTEXI,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,07-09-2025,14:23:00,A20N,VTEXI,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,08-09-2025,11:50:00,A20N,VTCID,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,08-09-2025,14:07:00,A20N,VTCID,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,08-09-2025,17:55:00,B788,VTANZ,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900357155,09-09-2025,12:04:00,A20N,VTEXN,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,09-09-2025,14:25:00,A20N,VTEXN,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,09-09-2025,18:03:00,B788,VTNAC,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900357155,10-09-2025,11:54:00,A20N,VTEXL,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,10-09-2025,14:07:00,A20N,VTEXL,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,11-09-2025,12:13:00,A20N,VTEXV,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,11-09-2025,14:27:00,A20N,VTEXV,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,12-09-2025,12:11:00,A20N,VTEXQ,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,12-09-2025,14:43:00,A20N,VTEXQ,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,13-09-2025,11:45:00,A20N,VTCIF,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,13-09-2025,14:12:00,A20N,VTCIF,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,14-09-2025,11:50:00,A20N,VTEXV,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,14-09-2025,14:23:00,A20N,VTEXV,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,14-09-2025,17:32:00,B788,VTNAC,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900357155,14-09-2025,18:10:00,B788,VTANR,YMML,VIDP,AIC309,,,$486.00,$48.60,$0.00,$534.60
1900357155,15-09-2025,11:51:00,A20N,VTCIF,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,15-09-2025,14:12:00,A20N,VTCIF,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,15-09-2025,18:07:00,B788,VTNAA,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900357155,16-09-2025,11:54:00,A20N,VTTNW,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,16-09-2025,14:23:00,A20N,VTTNW,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,16-09-2025,17:59:00,B788,VTANY,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900357155,17-09-2025,11:34:00,A20N,VTTNX,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,17-09-2025,14:19:00,A20N,VTTNX,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,17-09-2025,18:18:00,B788,VTNAA,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900357155,17-09-2025,19:06:00,B788,VTNAC,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900357155,18-09-2025,11:53:00,A20N,VTEXG,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,18-09-2025,14:26:00,A20N,VTEXG,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,18-09-2025,17:56:00,B788,VTANZ,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900357155,19-09-2025,11:48:00,A20N,VTCIE,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,19-09-2025,14:21:00,A20N,VTCIE,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,19-09-2025,17:49:00,B788,VTANI,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900357155,20-09-2025,11:44:00,A20N,VTEXV,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,20-09-2025,14:20:00,A20N,VTEXV,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,20-09-2025,17:57:00,B788,VTNAA,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900357155,21-09-2025,11:31:00,A20N,VTEXH,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,21-09-2025,14:29:00,A20N,VTEXH,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,22-09-2025,11:46:00,A20N,VTEXQ,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,22-09-2025,14:17:00,A20N,VTEXQ,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,23-09-2025,11:50:00,A20N,VTEXH,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,23-09-2025,14:31:00,A20N,VTEXH,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,24-09-2025,11:54:00,A20N,VTEXV,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,24-09-2025,14:15:00,A20N,VTEXV,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,25-09-2025,11:40:00,A20N,VTEXF,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,25-09-2025,14:31:00,A20N,VTEXF,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,26-09-2025,11:48:00,A20N,VTEXG,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,26-09-2025,14:20:00,A20N,VTEXG,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,27-09-2025,12:05:00,A20N,VTEXJ,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,27-09-2025,14:38:00,A20N,VTEXJ,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,27-09-2025,18:06:00,B788,VTANZ,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900357155,28-09-2025,11:42:00,A20N,VTEXI,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900357155,28-09-2025,14:17:00,A20N,VTEXI,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900357155,29-09-2025,11:40:00,A20N,VTCIP,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,29-09-2025,14:15:00,A20N,VTCIP,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,30-09-2025,11:48:00,A20N,VTCIQ,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900357155,30-09-2025,14:09:00,A20N,VTCIQ,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900357155,30-09-2025,18:11:00,B788,VTANY,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,01-10-2025,11:47:00,A20N,VTEXH,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,01-10-2025,12:29:00,A21N,VTTVH,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,01-10-2025,14:42:00,A20N,VTEXH,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,01-10-2025,17:55:00,B788,VTNAC,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,02-10-2025,11:44:00,A20N,VTEXI,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,02-10-2025,14:15:00,A20N,VTEXI,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,03-10-2025,12:10:00,A20N,VTEXH,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,03-10-2025,12:20:00,A21N,VTTVH,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,03-10-2025,14:26:00,A20N,VTEXH,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,04-10-2025,12:00:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,04-10-2025,12:08:00,A20N,VTEXT,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,04-10-2025,14:46:00,A20N,VTEXT,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,05-10-2025,11:41:00,A20N,VTEXU,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,05-10-2025,12:22:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,05-10-2025,14:40:00,A20N,VTEXU,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,06-10-2025,11:45:00,A20N,VTEXS,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,06-10-2025,12:04:00,A21N,VTTVI,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,06-10-2025,15:02:00,A20N,VTEXS,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,07-10-2025,11:54:00,A20N,VTRTT,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,07-10-2025,14:35:00,A20N,VTRTT,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,08-10-2025,11:41:00,A20N,VTEXK,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,08-10-2025,12:12:00,A21N,VTTVI,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,08-10-2025,14:21:00,A20N,VTEXK,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,09-10-2025,12:28:00,A20N,VTEXS,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,09-10-2025,15:04:00,A20N,VTEXS,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,09-10-2025,18:04:00,B788,VTANM,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,10-10-2025,11:58:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,10-10-2025,12:03:00,A20N,VTCIQ,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,10-10-2025,14:20:00,A20N,VTCIQ,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,10-10-2025,18:06:00,B788,VTNAC,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,10-10-2025,18:08:00,B788,VTANZ,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900362804,11-10-2025,11:29:00,A20N,VTCIG,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,11-10-2025,11:52:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,11-10-2025,14:14:00,A20N,VTCIG,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,11-10-2025,17:40:00,B788,VTANN,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900362804,12-10-2025,11:25:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,12-10-2025,11:40:00,A20N,VTCIE,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,12-10-2025,14:20:00,A20N,VTCIE,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,12-10-2025,18:23:00,B788,VTANC,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900362804,13-10-2025,11:33:00,A20N,VTEXU,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,13-10-2025,11:58:00,A21N,VTTVJ,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,13-10-2025,14:15:00,A20N,VTEXU,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,13-10-2025,17:38:00,B788,VTANV,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900362804,13-10-2025,18:06:00,B788,VTANE,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,14-10-2025,12:12:00,A20N,VTEXF,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,14-10-2025,14:32:00,A20N,VTEXF,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,15-10-2025,11:43:00,A20N,VTTQJ,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,15-10-2025,12:33:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,15-10-2025,14:10:00,A20N,VTTQJ,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,16-10-2025,11:25:00,A20N,VTEXL,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,16-10-2025,14:06:00,A20N,VTEXL,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,17-10-2025,11:25:00,A20N,VTEXL,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,17-10-2025,11:58:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,17-10-2025,14:00:00,A20N,VTEXL,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,18-10-2025,11:39:00,A20N,VTEXU,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,18-10-2025,11:56:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,18-10-2025,14:12:00,A20N,VTEXU,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,18-10-2025,19:15:00,B788,VTANH,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900362804,19-10-2025,11:29:00,A20N,VTEXH,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,19-10-2025,12:13:00,A21N,VTTVG,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,19-10-2025,14:29:00,A20N,VTEXH,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,19-10-2025,17:50:00,B788,VTANZ,YSSY,VIDP,AIC301,,,$486.00,$48.60,$0.00,$534.60
1900362804,20-10-2025,11:28:00,A20N,VTEXN,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,20-10-2025,11:45:00,A21N,VTTVJ,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,20-10-2025,14:10:00,A20N,VTEXN,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,21-10-2025,11:24:00,A20N,VTEXR,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,21-10-2025,13:59:00,A20N,VTEXR,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,22-10-2025,11:46:00,A21N,VTTVJ,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,22-10-2025,11:59:00,A20N,VTEXN,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,22-10-2025,14:23:00,A20N,VTEXN,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,22-10-2025,17:51:00,B788,VTANI,YMML,VIDP,AIC309,,,$486.00,$0.00,$0.00,$486.00
1900362804,22-10-2025,18:01:00,B788,VTNAC,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,23-10-2025,11:27:00,A20N,VTEXO,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,23-10-2025,14:04:00,A20N,VTEXO,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,24-10-2025,11:47:00,A20N,VTEXO,VIDP,VVTS,AIC388,,,$412.00,$0.00,$0.00,$412.00
1900362804,24-10-2025,11:57:00,A21N,VTTVJ,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,24-10-2025,14:29:00,A20N,VTEXO,VVTS,VIDP,AIC389,,,$412.00,$0.00,$0.00,$412.00
1900362804,25-10-2025,11:42:00,A20N,VTEXP,VIDP,VVTS,AIC388,,,$412.00,$41.20,$0.00,$453.20
1900362804,25-10-2025,11:56:00,A21N,VTTVJ,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,25-10-2025,14:21:00,A20N,VTEXP,VVTS,VIDP,AIC389,,,$412.00,$41.20,$0.00,$453.20
1900362804,26-10-2025,11:51:00,A20N,VTEXG,VIDP,VVTS,AIC2388,,,$412.00,$41.20,$0.00,$453.20
1900362804,26-10-2025,12:17:00,A21N,VTTVH,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,26-10-2025,14:38:00,A20N,VTEXG,VVTS,VIDP,AIC2389,,,$412.00,$41.20,$0.00,$453.20
1900362804,27-10-2025,12:06:00,A20N,VTEXH,VIDP,VVTS,AIC2388,,,$412.00,$0.00,$0.00,$412.00
1900362804,27-10-2025,12:06:00,A21N,VTTVH,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,27-10-2025,14:40:00,A20N,VTEXH,VVTS,VIDP,AIC2389,,,$412.00,$0.00,$0.00,$412.00
1900362804,27-10-2025,18:28:00,B788,VTANE,YSSY,VIDP,AIC301,,,$486.00,$0.00,$0.00,$486.00
1900362804,28-10-2025,12:00:00,A20N,VTEXU,VIDP,VVTS,AIC2388,,,$412.00,$0.00,$0.00,$412.00
1900362804,28-10-2025,14:39:00,A20N,VTEXU,VVTS,VIDP,AIC2389,,,$412.00,$0.00,$0.00,$412.00
1900362804,29-10-2025,12:05:00,A21N,VTTVJ,VIDP,RPLL,AIC2362,,,$412.00,$41.20,$0.00,$453.20
1900362804,29-10-2025,12:36:00,A20N,VTEXM,VIDP,VVTS,AIC2388,,,$412.00,$41.20,$0.00,$453.20
1900362804,29-10-2025,15:15:00,A20N,VTEXM,VVTS,VIDP,AIC2389,,,$412.00,$41.20,$0.00,$453.20
1900362804,30-10-2025,12:22:00,A20N,VTRTU,VIDP,VVTS,AIC2388,,,$412.00,$0.00,$0.00,$412.00
1900362804,30-10-2025,14:44:00,A20N,VTRTU,VVTS,VIDP,AIC2389,,,$412.00,$0.00,$0.00,$412.00
1900362804,31-10-2025,12:43:00,A20N,VTEXT,VIDP,VVTS,AIC2388,,,$412.00,$0.00,$0.00,$412.00
1900362804,31-10-2025,13:02:00,A21N,VTTVH,VIDP,RPLL,AIC2362,,,$412.00,$0.00,$0.00,$412.00
1900362804,31-10-2025,15:35:00,A20N,VTEXT,VVTS,VIDP,AIC2389,,,$412.00,$0.00,$0.00,$412.00
