Location,MTOW,MTOW,Charge,Type
Myanmmar,347451,347.451,609,Flat rate on MTOW
Myanmmar,93500,93.5,119,Flat rate on MTOW
Myanmmar,97000,97,119,Flat rate on MTOW
Myanmmar,79000,79,119,Flat rate on MTOW
Myanmmar,247207,247.207,457,Flat rate on MTOW
Myanmmar,227930,227.93,457,Flat rate on MTOW
Myanmmar,351534,351.534,609,Flat rate on MTOW
Myanmmar,73500,73.5,53,Flat rate on MTOW
Myanmmar,77000,77,119,Flat rate on MTOW
Myanmmar,89000,89,119,Flat rate on MTOW
Myanmmar,79010,79.01,119,Flat rate on MTOW
