Aircraft_Reg,MTOW,Calculated_Charge,Vendor_Charge,Difference,Status
VTAEE,347451,609,609,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVD,77000,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTTSH,77000,119,457,338,Not Matched
VTTSP,77000,119,457,338,Not Matched
VTTVJ,77000,119,119,0,Matched
VTTVJ,77000,119,119,0,Matched
VTANC,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANJ,227930,457,457,0,Matched
VTANX,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTCIF,79000,119,119,0,Matched
VTCIF,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTCIF,79000,119,7492,7373,Not Matched
VTCIH,79000,119,119,0,Matched
VTCIH,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEF,347451,609,609,0,Matched
VTTVF,77000,119,119,0,Matched
VTANN,227930,457,457,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTTSE,77000,119,457,338,Not Matched
VTTSH,77000,119,457,338,Not Matched
VTTVE,77000,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTANS,227930,457,457,0,Matched
VTANY,227930,457,457,0,Matched
VTANS,227930,457,457,0,Matched
VTANX,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANJ,227930,457,457,0,Matched
VTANQ,227930,457,15660,15203,Not Matched
VTCIE,79000,119,119,0,Matched
VTCIF,79000,119,119,0,Matched
