"Date of flight
1",,"Flight ID or call sign
2",,"T ype of
aircraft
3",,"Registra-tion number
4","T ime of arrival
(UT C)
5","T ime of depar
ture
(UT C)
6","Departure airport
7",,"Destina-tion
airport
8","Route
9","Distance km
10",,"MT OM
tons
11","Charge rate, USD per 100
a/c-km
12","En-route Charges Amount, USD
13","MT OM
tons
14","Coeffi cient
15","Charge rate, USD
/tons
16","Terminal Charges Amount, USD
17",,
25-October-2025,,AIC101,,A359,,VTJRH,,,VIDP,,KJFK,NELTI - GATRI,2236,,280.000,207.80,4 779.40,0.000,1.0000,0.00,0.00,,
26-October-2025,,AIC101,,A359,,VTJRF,,,VIDP,,KJFK,NELTI - RUDAM,2323,,280.000,207.80,4 987.20,0.000,1.0000,0.00,0.00,,
28-October-2025,,AIC101,,A359,,VTJRA,,,VIDP,,KJFK,NELTI - ADEMA,2552,,280.000,207.80,5 402.80,0.000,1.0000,0.00,0.00,,
29-October-2025,,AIC101,,A359,,VTJRH,,,VIDP,,KJFK,NELTI - ADEMA,2552,,280.000,207.80,5 402.80,0.000,1.0000,0.00,0.00,,
30-October-2025,,AIC101,,A359,,VTJRI,,,VIDP,,KJFK,NELTI - ADEMA,2552,,280.000,207.80,5 402.80,0.000,1.0000,0.00,0.00,,
26-October-2025,,AIC105,,A359,,VTJRA,,,VIDP,,KEWR,NELTI - RUDAM,2323,,280.000,207.80,4 987.20,0.000,1.0000,0.00,0.00,,
29-October-2025,,AIC105,,A359,,VTJRF,,,VIDP,,KEWR,NELTI - ADEMA,2552,,280.000,207.80,5 402.80,0.000,1.0000,0.00,0.00,,
31-October-2025,,AIC105,,A359,,VTJRA,,,VIDP,,KEWR,NELTI - ADEMA,2552,,280.000,207.80,5 402.80,0.000,1.0000,0.00,0.00,,
16-October-2025,,AIC1186,,B77W,,VTALP,,,CYVR,,VIDP,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
25-October-2025,,AIC119,,B77W,,VTAEN,,,VABB,,KJFK,NELTI - GATRI,2236,,351.534,212.60,4 889.80,0.000,1.0000,0.00,0.00,,
26-October-2025,,AIC119,,B77W,,VTAEQ,,,VABB,,KJFK,NELTI - RUDAM,2323,,351.534,212.60,5 102.40,0.000,1.0000,0.00,0.00,,
28-October-2025,,AIC119,,B77W,,VTAER,,,VABB,,KJFK,NELTI - ADEMA,2552,,351.534,212.60,5 527.60,0.000,1.0000,0.00,0.00,,
29-October-2025,,AIC119,,B77W,,VTAEN,,,VABB,,KJFK,NELTI - ADEMA,2552,,351.534,212.60,5 527.60,0.000,1.0000,0.00,0.00,,
10-October-2025,,AIC126,,B77L,,VTAEE,,,KORD,,VIDP,TIGNU - GITOV,148,,347.451,212.60,425.20,0.000,1.0000,0.00,0.00,,
07-October-2025,,AIC127,,B77L,,VTAEE,,,VIDP,,KORD,NELTI - ADEMA,2552,,347.451,212.60,5 527.60,0.000,1.0000,0.00,0.00,,
09-October-2025,,AIC127,,B77L,,VTAEE,,,VIDP,,KORD,NELTI - ADEMA,2552,,347.451,212.60,5 527.60,0.000,1.0000,0.00,0.00,,
12-October-2025,,AIC127,,B77L,,VTAEE,,,VIDP,,KORD,NELTI - ADEMA,2552,,347.451,212.60,5 527.60,0.000,1.0000,0.00,0.00,,
01-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,GULON - LETBI,4572,,347.451,212.60,9 779.60,0.000,1.0000,0.00,0.00,,
02-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,BAGAK - LETBI,4628,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
04-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,NIRUT - NELTI,2704,,347.451,212.60,5 952.80,0.000,1.0000,0.00,0.00,,
05-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
06-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
07-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,GULON - LETBI,4572,,347.451,212.60,9 779.60,0.000,1.0000,0.00,0.00,,
08-October-2025,,AIC174D,,B77W,,VTALR,,,KSFO,,VIDP,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
"Date of flight
1",,"Flight ID or call sign
2",,"T ype of
aircraft
3",,"Registra-tion number
4","T ime of arrival
(UT C)
5","T ime of depar
ture
(UT C)
6","Departure airport
7",,"Destina-tion
airport
8","Route
9","Distance km
10",,"MT OM
tons
11","Charge rate, USD per 100
a/c-km
12","En-route Charges Amount, USD
13","MT OM
tons
14","Coeffi cient
15","Charge rate, USD
/tons
16","Terminal Charges Amount, USD
17",,
08-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
09-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,BAGAK - LETBI,4628,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
10-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,GULON - LETBI,4572,,347.451,212.60,9 779.60,0.000,1.0000,0.00,0.00,,
11-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,AGNOL - LETBI,4658,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
12-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,LISKI - LETBI,4767,,347.451,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
13-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
14-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,KOKES - ANIMO,2149,,347.451,212.60,4 677.20,0.000,1.0000,0.00,0.00,,
15-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
16-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
17-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
18-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,LISKI - LETBI,4767,,347.451,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
19-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,BAGAK - LETBI,4628,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
20-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
21-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
22-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,AGNOL - LETBI,4658,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
23-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,BAGAK - LETBI,4628,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
24-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VIDP,BAGAK - LETBI,4628,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
25-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VIDP,BAGAK - LETBI,4628,,347.451,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
26-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VECC,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
27-October-2025,,AIC174,,B77L,,VTAEI,,,KSFO,,VECC,GULON - LETBI,4572,,347.451,212.60,9 779.60,0.000,1.0000,0.00,0.00,,
28-October-2025,,AIC174,,B77W,,VTALO,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
30-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VECC,KUTAL - LETBI,4988,,347.451,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
31-October-2025,,AIC174,,B77W,,VTALO,,,KSFO,,VECC,FRENK - LETBI,4923,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
31-October-2025,,AIC174,,B77L,,VTAEH,,,KSFO,,VECC,LISKI - LETBI,4767,,347.451,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
01-October-2025,,AIC176,,B77W,,VTALP,,,KSFO,,VECC,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
04-October-2025,,AIC176,,B77W,,VTALX,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
07-October-2025,,AIC176,,B77W,,VTALX,,,KSFO,,VECC,GULON - LETBI,4572,,351.534,212.60,9 779.60,0.000,1.0000,0.00,0.00,,
08-October-2025,,AIC176,,B77W,,VTALN,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
11-October-2025,,AIC176,,B77W,,VTALK,,,KSFO,,VECC,GULON - LETBI,4572,,351.534,212.60,9 779.60,0.000,1.0000,0.00,0.00,,
14-October-2025,,AIC176,,B77W,,VTALX,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
15-October-2025,,AIC176,,B77W,,VTALM,,,KSFO,,VECC,AGNOL - LETBI,4658,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
18-October-2025,,AIC176,,B77W,,VTAEM,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
21-October-2025,,AIC176,,B77W,,VTALR,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
22-October-2025,,AIC176,,B77W,,VTALS,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
25-October-2025,,AIC176,,B77W,,VTALU,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
28-October-2025,,AIC176,,B77W,,VTALN,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
29-October-2025,,AIC176,,B77W,,VTALP,,,KSFO,,VECC,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
03-October-2025,,AIC180,,B77W,,VTALR,,,KSFO,,VECC,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
05-October-2025,,AIC180,,B77W,,VTALJ,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
09-October-2025,,AIC180,,B77W,,VTALU,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
10-October-2025,,AIC180,,B77W,,VTALR,,,KSFO,,VECC,AGNOL - LETBI,4658,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
12-October-2025,,AIC180,,B77W,,VTALX,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
13-October-2025,,AIC180,,B77W,,VTALN,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
16-October-2025,,AIC180,,B77W,,VTALX,,,KSFO,,VECC,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
17-October-2025,,AIC180,,B77W,,VTALM,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
19-October-2025,,AIC180,,B77W,,VTAER,,,KSFO,,VECC,AGNOL - LETBI,4658,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
20-October-2025,,AIC180,,B77W,,VTAEM,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
23-October-2025,,AIC180,,B77W,,VTALR,,,KSFO,,VECC,FRENK - LETBI,4923,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
24-October-2025,,AIC180,,B77W,,VTALK,,,KSFO,,VECC,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
26-October-2025,,AIC180,,B77W,,VTAEM,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
27-October-2025,,AIC180,,B77W,,VTALU,,,KSFO,,VECC,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
30-October-2025,,AIC180,,B77W,,VTALN,,,KSFO,,VECC,KUTAL - LETBI,4988,,351.534,212.60,10 630.00,0.000,1.0000,0.00,0.00,,
31-October-2025,,AIC180,,B77W,,VTALP,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
17-October-2025,,AIC184,,B77W,,VTALS,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
19-October-2025,,AIC184,,B77W,,VTALS,,,KSFO,,VECC,AGNOL - LETBI,4658,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
22-October-2025,,AIC184,,B77W,,VTAEP,,,KSFO,,VECC,LISKI - LETBI,4767,,351.534,212.60,10 204.80,0.000,1.0000,0.00,0.00,,
24-October-2025,,AIC184,,B77W,,VTAEP,,,KSFO,,VECC,AGNOL - LETBI,4658,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
04-October-2025,,AIC185,,B77W,,VTALP,,,VIDP,,CYVR,BISIV - KOKES,2127,,351.534,212.60,4 677.20,0.000,1.0000,0.00,0.00,,
01-October-2025,,AIC186,,B77W,,VTALX,,,CYVR,,VIDP,AGNOL - LETBI,4658,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
02-October-2025,,AIC186,,B77W,,VTALK,,,CYVR,,VIDP,BAGAK - LETBI,4628,,351.534,212.60,9 992.20,0.000,1.0000,0.00,0.00,,
