Date,Callsign,Aircraft regist,Aircraft type,From,To,Route,Take off time,Langding time,Charge,Fee,Sur charge,Sub-fee,Total charge,Total fee,Total amount
01,AIC2361,VTTVH,A21N,RPLL,VIDP,L628/G474/B202,18:24,19:18,136.00,150.00,0.00,0.00,136.00,150.00,286.00
01,AIC2362,VTTVH,A21N,VIDP,RPLL,G474/L628,13:10,14:02,136.00,150.00,0.00,0.00,136.00,150.00,286.00
03,AIC2361,VTTVH,A21N,RPLL,VIDP,L628/G474/B202,18:02,18:54,136.00,150.00,0.00,0.00,136.00,150.00,286.00
03,AIC2362,VTTVH,A21N,VIDP,RPLL,G474/L628,12:59,13:54,136.00,150.00,0.00,0.00,136.00,150.00,286.00
04,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:31,18:26,136.00,150.00,0.00,0.00,136.00,150.00,286.00
04,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:38,13:33,136.00,150.00,0.00,0.00,136.00,150.00,286.00
05,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:58,13:52,136.00,150.00,0.00,0.00,136.00,150.00,286.00
06,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,12:42,13:34,136.00,150.00,0.00,0.00,136.00,150.00,286.00
06,AIC2361,VTTVI,A21N,RPLL,VIDP,L628/G474/B202,17:45,18:35,136.00,150.00,0.00,0.00,136.00,150.00,286.00
06,AIC2362,VTTVI,A21N,VIDP,RPLL,G474/L628,12:46,13:41,136.00,150.00,0.00,0.00,136.00,150.00,286.00
08,AIC2361,VTTVI,A21N,RPLL,VIDP,L628/G474/B202,17:38,18:28,136.00,150.00,0.00,0.00,136.00,150.00,286.00
08,AIC2362,VTTVI,A21N,VIDP,RPLL,G474/L628,12:56,13:52,136.00,150.00,0.00,0.00,136.00,150.00,286.00
10,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:13,18:05,136.00,150.00,0.00,0.00,136.00,150.00,286.00
10,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:46,13:40,136.00,150.00,0.00,0.00,136.00,150.00,286.00
11,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:32,18:24,136.00,150.00,0.00,0.00,136.00,150.00,286.00
11,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:32,13:26,136.00,150.00,0.00,0.00,136.00,150.00,286.00
12,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,16:46,17:39,136.00,150.00,0.00,0.00,136.00,150.00,286.00
12,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:10,13:03,136.00,150.00,0.00,0.00,136.00,150.00,286.00
13,AIC2361,VTTVJ,A21N,RPLL,VIDP,L628/G474/B202,17:29,18:22,136.00,150.00,0.00,0.00,136.00,150.00,286.00
13,AIC2362,VTTVJ,A21N,VIDP,RPLL,G474/L628,12:42,13:40,136.00,150.00,0.00,0.00,136.00,150.00,286.00
15,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:56,18:47,136.00,150.00,0.00,0.00,136.00,150.00,286.00
15,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,13:14,14:09,136.00,150.00,0.00,0.00,136.00,150.00,286.00
17,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:24,18:17,136.00,150.00,0.00,0.00,136.00,150.00,286.00
17,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:38,13:29,136.00,150.00,0.00,0.00,136.00,150.00,286.00
18,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:09,18:07,136.00,150.00,0.00,0.00,136.00,150.00,286.00
18,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:33,13:26,136.00,150.00,0.00,0.00,136.00,150.00,286.00
19,AIC2361,VTTVG,A21N,RPLL,VIDP,L628/G474/B202,17:20,18:12,136.00,150.00,0.00,0.00,136.00,150.00,286.00
19,AIC2362,VTTVG,A21N,VIDP,RPLL,G474/L628,12:52,13:47,136.00,150.00,0.00,0.00,136.00,150.00,286.00
20,AIC2361,VTTVJ,A21N,RPLL,VIDP,L628/G474/B202,16:45,17:37,136.00,150.00,0.00,0.00,136.00,150.00,286.00
20,AIC2362,VTTVJ,A21N,VIDP,RPLL,G474/L628,12:22,13:15,136.00,150.00,0.00,0.00,136.00,150.00,286.00
