Date,Callsign,Aircraft_Reg,Aircraft type,From,To,MTOW_in_KGs,CALCULATED_CHARGE,Charge,Fee,Total amount,VERIFICATION_STATUS
1.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
1.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
3.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
3.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
4.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
4.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
5.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
6.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
6.0,AIC2361,VTTVI,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
6.0,AIC2362,VTTVI,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
8.0,AIC2361,VTTVI,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
8.0,AIC2362,VTTVI,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
10.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
10.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
11.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
11.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
12.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
12.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
13.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
13.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
15.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
15.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
17.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
17.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
18.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
18.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
19.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
19.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
20.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
20.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
22.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
22.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
24.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
24.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
25.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
25.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
26.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
26.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
27.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
27.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
29.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
29.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
31.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,136.00,150.00,286.00,Not Matched
31.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,136.00,150.00,286.00,Not Matched
, ,Subtotal, , ,44,,,"5,984.00","6,600.00","12,584.00",Not Matched
1.0,AIC301,VTNAC,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
9.0,AIC301,VTANM,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
10.0,AIC301,VTNAC,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
10.0,AIC309,VTANZ,B788,YMML,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
11.0,AIC301,VTANN,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
12.0,AIC301,VTANC,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
13.0,AIC301,VTANE,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
13.0,AIC309,VTANV,B788,YMML,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
18.0,AIC301,VTANH,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
19.0,AIC301,VTANZ,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
22.0,AIC301,VTNAC,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
22.0,AIC309,VTANI,B788,YMML,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
27.0,AIC301,VTANE,B788,YSSY,VIDP,227930.0,286.0,218.00,242.00,460.00,Not Matched
, ,Subtotal, , ,13,,,"2,834.00","3,146.00","5,980.00",Not Matched
, ,Grandtotal, , ,57,,,"8,818.00","9,746.00","18,564.00",Not Matched
