Date,Callsign,Aircraft_Reg,Aircraft type,From,To,MTOW_in_KGs,CALCULATED_TOTAL_AMOUNT,Total amount,VERIFICATION_STATUS
1.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
1.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
3.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
3.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
4.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
4.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
5.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
6.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
6.0,AIC2361,VTTVI,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
6.0,AIC2362,VTTVI,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
8.0,AIC2361,VTTVI,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
8.0,AIC2362,VTTVI,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
10.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
10.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
11.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
11.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
12.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
12.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
13.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
13.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
15.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
15.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
17.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
17.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
18.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
18.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
19.0,AIC2361,VTTVG,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
19.0,AIC2362,VTTVG,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
20.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
20.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
22.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
22.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
24.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
24.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
25.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
25.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
26.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
26.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
27.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
27.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
29.0,AIC2361,VTTVJ,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
29.0,AIC2362,VTTVJ,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
31.0,AIC2361,VTTVH,A21N,RPLL,VIDP,97000.0,286.0,286.00,Matched
31.0,AIC2362,VTTVH,A21N,VIDP,RPLL,97000.0,286.0,286.00,Matched
1.0,AIC301,VTNAC,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
9.0,AIC301,VTANM,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
10.0,AIC301,VTNAC,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
10.0,AIC309,VTANZ,B788,YMML,VIDP,227930.0,460.0,460.00,Matched
11.0,AIC301,VTANN,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
12.0,AIC301,VTANC,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
13.0,AIC301,VTANE,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
13.0,AIC309,VTANV,B788,YMML,VIDP,227930.0,460.0,460.00,Matched
18.0,AIC301,VTANH,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
19.0,AIC301,VTANZ,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
22.0,AIC301,VTNAC,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
22.0,AIC309,VTANI,B788,YMML,VIDP,227930.0,460.0,460.00,Matched
27.0,AIC301,VTANE,B788,YSSY,VIDP,227930.0,460.0,460.00,Matched
