Invoice number,Callsign,Departure,IATA,Arrival,IATA.1,FLIGHTDATE,AC Type,Registration,Total Bill,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,FLIGHT_TYPE,Reg_Clean,MTOW_in_KGs,MTOW_Tonnes,CALCULATED_CHARGE,TOTAL_BILL_NUM,STATUS
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,04-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,10-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,13-Sep-25,A20N,VTTQF,350.0,,,,,,,,,,,,Without landing rate,VTTQF,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,15-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,09-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,04-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,30-Sep-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,09-Sep-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,06-Sep-25,A20N,VTTNQ,350.0,,,,,,,,,,,,Without landing rate,VTTNQ,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,02-Sep-25,A20N,VTTQA,350.0,,,,,,,,,,,,Without landing rate,VTTQA,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,10-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,11-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,01-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,20-Sep-25,A20N,VTTNP,350.0,,,,,,,,,,,,Without landing rate,VTTNP,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,07-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,09-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,12-Sep-25,A20N,VTTQI,350.0,,,,,,,,,,,,Without landing rate,VTTQI,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,16-Sep-25,A20N,VTTNR,350.0,,,,,,,,,,,,Without landing rate,VTTNR,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,17-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,23-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC936,OEDF,DMM,VABB,BOM,05-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,30-Sep-25,A20N,VTTNP,180.0,,,,,,,,,,,,With landing,VTTNP,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,03-Sep-25,A20N,VTTNQ,180.0,,,,,,,,,,,,With landing,VTTNQ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,02-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,30-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
