UTC_DATE,FLIGHT_ID,AC_IDENT,MTOW,WEIGHT FACTOR,BILLDIST,AMOUNT,TOTAL,CALCULATED_CHARGE,VERIFICATION_STATUS
14-10-2025,AIC105,VTJRE,280.0,16.73320053,1430,843.24,843.24,843.24,Matched
14-10-2025,AIC106,VTJRE,280.0,16.73320053,1598,942.31,942.31,942.31,Matched
14-10-2025,AIC116,VTAEP,351.5,18.74833326,1524,1006.89,1006.89,1006.89,Matched
14-10-2025,AIC119,VTAEP,351.5,18.74833326,1348,890.61,890.61,890.61,Matched
15-10-2025,AIC191,VTAEM,351.5,18.74833326,1328,877.4,877.4,877.4,Matched
15-10-2025,AIC101,VTJRA,280.0,16.73320053,1417,835.57,835.57,835.57,Matched
15-10-2025,AIC102,VTJRA,280.0,16.73320053,1302,767.76,767.76,767.76,Matched
15-10-2025,AIC116,VTAER,351.5,18.74833326,1308,864.18,864.18,864.18,Matched
16-10-2025,AIC119,VTAEN,351.5,18.74833326,1430,944.79,944.79,944.79,Matched
15-10-2025,AIC119D,VTAER,351.5,18.74833326,1419,937.52,937.52,937.52,Matched
15-10-2025,AIC126,VTALS,351.5,18.74833326,2239,1479.29,1479.29,1479.29,Matched
15-10-2025,AIC127,VTALS,351.5,18.74833326,2098,1386.13,1386.13,1386.13,Matched
15-10-2025,AIC144,VTAEM,351.5,18.74833326,1308,864.18,864.18,864.18,Matched
15-10-2025,AIC176,VTALM,351.5,18.74833326,2587,1709.21,1709.21,1709.21,Matched
16-10-2025,AIC101,VTJRB,280.0,16.73320053,1430,843.24,843.24,843.24,Matched
16-10-2025,AIC102,VTJRB,280.0,16.73320053,1402,826.73,826.73,826.73,Matched
16-10-2025,AIC105,VTJRE,280.0,16.73320053,1254,739.46,739.46,739.46,Matched
16-10-2025,AIC106,VTJRE,280.0,16.73320053,1380,813.76,813.76,813.76,Matched
16-10-2025,AIC116,VTAEN,351.5,18.74833326,1400,924.97,924.97,924.97,Matched
16-10-2025,AIC174,VTAEH,347.5,18.64135188,824,541.3,541.3,541.3,Matched
16-10-2025,AIC180,VTALX,351.5,18.74833326,2691,1777.92,1777.92,1777.92,Matched
17-10-2025,AIC101,VTJRH,280.0,16.73320053,1358,800.78,800.78,800.78,Matched
17-10-2025,AIC102,VTJRH,280.0,16.73320053,1419,836.75,836.75,836.75,Matched
17-10-2025,AIC126,VTALK,351.5,18.74833326,2102,1388.77,1388.77,1388.77,Matched
17-10-2025,AIC127,VTALK,351.5,18.74833326,2300,1519.59,1519.59,1519.59,Matched
17-10-2025,AIC144,VTAER,351.5,18.74833326,1308,864.18,864.18,864.18,Matched
17-10-2025,AIC180,VTALM,351.5,18.74833326,761,502.79,502.79,502.79,Matched
17-10-2025,AIC184,VTALS,351.5,18.74833326,1874,1238.14,1238.14,1238.14,Matched
17-10-2025,AIC191,VTAER,351.5,18.74833326,1204,795.47,795.47,795.47,Matched
18-10-2025,AIC101,VTJRE,280.0,16.73320053,1298,765.4,765.4,765.4,Matched
18-10-2025,AIC102,VTJRE,280.0,16.73320053,1393,821.42,821.42,821.42,Matched
18-10-2025,AIC105,VTJRB,280.0,16.73320053,1128,665.16,665.16,665.16,Matched
18-10-2025,AIC106,VTJRB,280.0,16.73320053,1454,857.39,857.39,857.39,Matched
18-10-2025,AIC116,VTALR,351.5,18.74833326,1393,920.34,920.34,920.34,Matched
18-10-2025,AIC119,VTALR,351.5,18.74833326,1156,763.76,763.76,763.76,Matched
